character_skill_level_to_ancillaries_junctions_tables	1
granted_ancillary	skill	level
mount_horse_warleader	warleader_mount_skill	1
mount_chariot_warleader	warleader_chariot_skill	1
mount_horse_truthsayer_beasts	mount_horse_truthsayer_beasts_skill	1
mount_horse_truthsayer_light	mount_horse_truthsayer_light_skill	1
mount_horse_truthsayer_life	mount_horse_truthsayer_life_skill	1
mount_horse_truthsayer_truth	mount_horse_truthsayer_truth_skill	1
mount_horse_chief	chief_mount_skill	1
mount_chariot_chief	chief_chariot_skill	1
mount_horse_wyrd	wyrd_mount_skill	1
mount_raven_morrigan	morrigan_raven_skill	1
anc_morrigan_staff	morrigan_legendary_staff	1
elo_staff_of_dural_durak	elo_staff_of_dural_durak	1
elo_amulet_old_ones	elo_amulet_old_ones	1
dural_mount_horse	dural_mount_horse	1
dural_mount_chariot	dural_mount_chariot	1
