key	index	subculture	category	screen_name	screen_adjective	name_group	skin	ui_skin	is_rebel	mp_available	mp_available_naval	flags_path	republican_flag_path	same_gov_type_revolution_flag_path	primary_colour_r	primary_colour_g	primary_colour_b	alt_primary_colour_r	alt_primary_colour_g	alt_primary_colour_b	secondary_colour_r	secondary_colour_g	secondary_colour_b	alt_secondary_colour_r	alt_secondary_colour_g	alt_secondary_colour_b	uniform_colour_r	uniform_colour_g	uniform_colour_b	alt_uniform_colour_r	alt_uniform_colour_g	alt_uniform_colour_b	military_group	rebel_colour_r	rebel_colour_g	rebel_colour_b	movie_death_event	mp_use_republic_early	mp_use_republic_late	unit_regiment_name_group	ship_name_group	attack_desc	defend_desc	pre_battle_speech_parameter	card_colour_r	card_colour_g	card_colour_b	senator_total	audio_voiceover_culture	mp_force_gen_template	faction_swapping_id	win_movie	has_politics	waaagh_faction	waaagh_general_unit	is_quest_faction	cdir_military_generator_config	default_audio_actor_vo_group	feature_forest	neutral_reinforcement_factions	can_accept_gifts_when_dead
#factions_tables;36;db/factions_tables/!!!ovn_factions																																																													
wh2_main_amz_amazons	1916222915	wh_main_sc_lzd_amazon	playable	wh2_main_amz_amazons	wh2_main_amz_amazons	117	wh2_main_lzd_lizardmen	wh2_main_lzd_lizardmen	false	false	false	ui\flags\ovn_amazons		ui\flags\ovn_amazons	180.0	60.0	230.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ovn_amazon	0.0	0.0	0.0	0	false	false	117	117	ph	ph	FACTION_ASHIKAGA	0.0	0.0	0.0	500	vo_culture_Invalid	default	lzd		false			false	WH_Lizardmen	wh2_main_vo_actor_Lizardmen_Saurus_Old_Blood_Lord	RITUAL_STANDARD	empty	false
wh2_main_arb_aswad_scythans	2045991492	wh_main_sc_emp_araby	playable	wh2_main_arb_aswad_scythans	wh2_main_arb_aswad_scythans	444	ovn_arb_araby	ovn_scythan	false	true	false	ui\flags\ovn_scythans		ui\flags\ovn_scythans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ovn_araby	0.0	0.0	0.0	0	false	false	180	180	ph	ph	FACTION_ASHIKAGA	0.0	0.0	0.0	500	wh2_dlc09_vo_culture_Tomb_Kings	default	tmb		false			false	ovn_araby_fatandira	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	LOCKED_STANDARD	empty	false
wh2_main_arb_caliphate_of_araby	797840424	wh_main_sc_emp_araby	playable	wh2_main_arb_caliphate_of_araby	wh2_main_arb_caliphate_of_araby	444	ovn_arb_araby	ovn_araby	false	true	false	ui\flags\ovn_araby		ui\flags\ovn_araby	220.0	220.0	220.0	220.0	220.0	220.0	220.0	220.0	220.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ovn_araby	0.0	0.0	0.0	0	false	false	180	180	ph	ph	FACTION_ASHIKAGA	0.0	0.0	0.0	500	wh2_dlc09_vo_culture_Tomb_Kings	default	tmb		false			false	ovn_araby_jaffar	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	LOCKED_STANDARD	empty	false
wh2_main_arb_flaming_scimitar	1371669171	wh_main_sc_emp_araby	playable	wh2_main_arb_flaming_scimitar	wh2_main_arb_flaming_scimitar	444	ovn_arb_araby	ovn_scimitar	false	true	false	ui\flags\ovn_scimitar		ui\flags\ovn_scimitar	40.0	40.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ovn_araby	0.0	0.0	0.0	0	false	false	180	180	ph	ph	FACTION_ASHIKAGA	0.0	0.0	0.0	500	wh2_dlc09_vo_culture_Tomb_Kings	default	tmb		false			false	ovn_araby_magus	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	LOCKED_STANDARD	empty	false
wh2_main_emp_grudgebringers	1285928110	wh_main_sc_emp_empire	playable	wh2_main_emp_grudgebringers	wh2_main_emp_grudgebringers	89	wh_main_emp_empire	ovn_grudge	false	true	false	ui\flags\ovn_grudge		ui\flags\ovn_grudge	40.0	40.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ovn_grudge	0.0	0.0	0.0	0	false	false	89	89	ph	ph	FACTION_ASHIKAGA	0.0	0.0	0.0	500	vo_culture_Invalid	default	emp		false			false	ovn_grudgebringers	wh_main_vo_actor_Empire_General	LOCKED_HORDE	empty	false
wh2_main_emp_the_moot	2027970093	wh_main_sc_emp_empire	playable	wh2_main_emp_the_moot	wh2_main_emp_the_moot	111	ovn_halflings	ovn_halfling	false	true	false	ui\flags\ovn_moot		ui\flags\ovn_moot	50.0	200.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ovn_halfling	0.0	0.0	0.0	0	false	false	89	89	ph	ph	FACTION_ASHIKAGA	0.0	0.0	0.0	500	vo_culture_Invalid	default	emp		false			false	ovn_halflings	wh_main_vo_actor_Empire_General	LOCKED_STANDARD	empty	false
wh2_main_nor_albion	1876529841	wh_main_sc_nor_albion	playable	wh2_main_nor_albion	wh2_main_nor_albion	435	ovn_albion	ovn_albion	false	true	false	ui\flags\ovn_albion		ui\flags\ovn_albion	40.0	40.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ovn_albion	0.0	0.0	0.0	0	false	false	198	198	ph	ph	FACTION_ASHIKAGA	0.0	0.0	0.0	500	vo_culture_Invalid	default	nor		false			false	ovn_albion	wh_dlc08_vo_actor_Norsca_Marauder_Chieftan	LOCKED_STANDARD	empty	false
wh2_main_nor_trollz	8888420	wh_main_sc_nor_troll	playable	wh2_main_nor_trollz	wh2_main_nor_trollz	88	wh_main_grn_greenskins	ovn_troll	false	true	false	ui\flags\ovn_troll		ui\flags\ovn_troll	190.0	190.0	190.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ovn_troll	0.0	0.0	0.0	0	false	false	88	88	ph	ph	FACTION_ASHIKAGA	0.0	0.0	0.0	500	vo_culture_Invalid	default	nor		false			false	ovn_trollz	wh_dlc08_vo_actor_Norsca_Marauder_Chieftan	LOCKED_STANDARD	empty	false
wh2_dlc09_tmb_the_sentinels	1559085004	wh2_dlc09_sc_tmb_tomb_kings	playable	The Sentinels	Sentinel	180	wh2_dlc09_tmb_tomb_kings	wh2_dlc09_tomb_kings	false	true	false	ui\flags\wh2_dlc09_tmb_the_sentinels		ui\flags\wh2_dlc09_tmb_the_sentinels	47.0	49.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ovn_dread_king	0.0	0.0	0.0	0	false	false	180	180	You are attacking the Sentinels!	You are defending against the Sentinels!	FACTION_ODA	0.0	0.0	0.0	500	wh2_dlc09_vo_culture_Tomb_Kings	default	tmb		false			false	ovn_dreadking	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	RITUAL_STANDARD	empty	false
