key	agent_subtype	factorial_effect	value	scope
#campaign_agent_subtype_factorial_effect_junctions_tables;2;db/campaign_agent_subtype_factorial_effect_junctions_tables/ovn				
238320007	roy_arb_champion	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
238320008	roy_arb_nomad	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
11123512	ovn_com_aragand_the_layabout	skaven_discoverability_characters	10	EFS_ONLY_OWNER
11123513	ovn_com_legles_the_elf	skaven_discoverability_characters	10	EFS_ONLY_OWNER
11123514	ovn_com_giblit_the_dwarf	skaven_discoverability_characters	10	EFS_ONLY_OWNER
5700037521	arb_magician_life	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
5700037522	arb_magician_desert	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
5700037523	arb_magician_fire	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
5700037524	arb_magician_heavens	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
238320009	rbt_blightstormer	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
206298201	ovn_hlf_fieldwarden	skaven_discoverability_characters	10	EFS_ONLY_OTHERS
206298202	ovn_hlf_master_chef	skaven_discoverability_characters	10	EFS_ONLY_OTHERS
206298203	ovn_hlf_sheriff	skaven_discoverability_characters	10	EFS_ONLY_OTHERS
1239435258	elo_troll_champ	skaven_discoverability_characters	15	EFS_ONLY_OTHERS
