mounts_tables	10
key	animation	entity	audio_armour_type	variant	voiceover
ovn_arb_mnt_flying_carpet	fc1_flying_carpet	ovn_arb_cav_flying_carpet	leather	ovn_arb_flying_carpet	vo_culture_Invalid
aky_terrorgheist_mount_0	bi2_wyvern	wh_main_flying_terrorgheist_blood	body	aky_terrorgheist_mount_0	wh_main_vo_culture_Terrorgheist
dread_chariot_skeletal_steed	hr1_skeletal_steed	wh2_dlc09_tmb_cav_skeletal_steed_chariot	bone	dread_chariot_steed	wh_main_vo_culture_Skeletal_horse
dread_legion_barded_skeletal_steed	hr1_skeletal_steed	wh_main_vmp_cav_skeletal_steed_barded_hero	bone	dread_legion_barded_skeletal_steed	wh_main_vo_culture_Skeletal_horse
elo_dread_centurion_horse	hr1_skeletal_steed	wh_main_vmp_cav_skeletal_steed	bone	wh_vmp_skeletal_steed_black	wh_main_vo_culture_Skeletal_horse
elo_dread_hand_chariot_horse	hr1_skeletal_steed	elo_dread_hand_chariot_horse	bone	wh_vmp_skeletal_steed_black	wh_main_vo_culture_Skeletal_horse
albion_warhorse	hr1_warhorse	albion_warhorse_entity	leather	albion_warhorse	wh_main_vo_culture_Horse
albion_warhorse_chariot	hr1_warhorse	albion_warhorse_chariot	leather	albion_warhorse	wh_main_vo_culture_Horse
morrigan_midnight	bi1_eagle	wh_dlc05_wef_mon_great_eagle_blood	body	morrigan_midnight	wh_main_vo_culture_Eagle
albion_warhorse_noble	hr1_warhorse	albion_warhorse_noble_entity	leather	albion_warhorse	wh_main_vo_culture_Horse
ovn_arb_mnt_camel	hr1_warhorse	ovn_camel	body	ovn_arb_camel	wh_main_vo_culture_Horse
ovn_mnt_war_elephant	hq3_araby_elephant	wh_main_arb_mon_war_elephant_blood	body	ovn_arb_war_elephant_ror	vo_culture_Invalid
wh_main_arb_mnt_magic_carpet	hr1_flying_carpet	wh_main_flying_magic_carpet	leather	wh_arb_magic_carpet	wh_main_vo_culture_None
wh_main_mnt_elephant	hq3_araby_elephant	wh_main_arb_mon_elephant_blood	body	wh_main_arb_elephant	vo_culture_Invalid
wh_main_mnt_war_elephant	hq3_araby_elephant	wh_main_arb_mon_war_elephant_blood	body	wh_main_arb_war_elephant	vo_culture_Invalid
wh_main_mnt_royal_war_elephant	hq3_araby_elephant	wh_main_arb_mon_royal_elephant_blood	chainmail	wh_main_arb_royal_war_elephant	vo_culture_Invalid
ovn_arb_mnt_scorpion	sc1_scorpion01	ovn_arb_mon_scorpion	bone	ovn_arb_cav_scorpion	vo_culture_None
ovn_araby_ll_mount	bc2_deathclaw	wh_main_flying_griffon_blood	plate	wh_dlc03_emp_amber_wizard_griffon	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph
ovn_elephantmount	hq3_mammoth	wh_main_arb_mon_royal_elephant_blood	chainmail	wh_main_arb_royal_war_elephant	vo_culture_Invalid
ovn_cat_horse	hr1_warhorse	ovn_cat_horse	plate	ovn_cat_horse	wh_main_vo_culture_Horse
ovn_knight_horse	hr1_warhorse	wh2_main_hef_cavalry_fast_blood	plate	ovn_knight_horse	wh_main_vo_culture_Horse
ovn_muktar_horse	hr1_warhorse	wh2_main_hef_cavalry_fast_blood	plate	arb_knight_horse_muktar	wh_main_vo_culture_Horse
ovn_cat_horse_ror	hr1_warhorse	ovn_cat_horse	plate	ovn_cat_horse_ror	wh_main_vo_culture_Horse
arb_kasabar_elephant	hq3_araby_elephant	wh_main_arb_mon_war_elephant_blood	body	arb_kasabar_elephant	vo_culture_Invalid
arb_fatandira_warhorse	hr1_warhorse	albion_warhorse_noble_entity	leather	arb_fatandira_warhorse	wh_main_vo_culture_Horse
arb_fatandira_roc	bi1_eagle	wh_dlc05_wef_mon_great_eagle_blood	body	arb_fatandira_roc	wh_main_vo_culture_Hawk
ovn_fim_mnt_bog_beast	lz1_dlc12_salamander	ovn_fim_cavalry_bog_beast_blood	body	ovn_fim_bog_beast	wh2_dlc12_vo_culture_Salamander
wh_main_van_mnt_warhorse_barded	hr1_warhorse	wh_main_cavalry_slow_blood	plate	wh_van_warhorse_armoured	wh_main_vo_culture_Horse
wh_main_gru_mnt_warhorse_outriders	hr1_warhorse	wh_main_brt_cavalry_barded_blood	leather	wh_gru_warhorse	wh_main_vo_culture_Horse
wh_main_rag_mnt_warhorse_barded	hr1_warhorse	wh_main_cavalry_slow_blood	plate	wh_rag_warhorse_armoured	wh_main_vo_culture_Horse
wh_mtl_halftank	wm_steam_tank01	wh_main_vehicle_halftank	plate	wh_main_vehicle_halftank	wh_main_vo_culture_Empire
ovn_mtl_mnt_poultry	rp3_cold_one	ovn_mtl_cavalry_poultry_blood	body	ovn_mtl_poultry	wh_main_vo_culture_Eagle
ovn_mtl_mnt_warpony_draught	hr1_warhorse	ovn_mtl_mnt_warpony_draught	body	ovn_mtl_warpony_draught	wh_main_vo_culture_Horse
ovn_mtl_mnt_warpony_barded_draught	hr1_warhorse	wh_main_cavalry_slow_blood	plate	ovn_mtl_warpony_armoured_draught	wh_main_vo_culture_Horse
ovn_mtl_auroch	hr1_warhorse_draught	ovn_mtl_mnt_warpony_draught	body	ovn_mtl_auroch	wh_main_vo_culture_Horse
ovn_mtl_mnt_swine	bo1_warboar	ovn_pig_mount_entity	body	ovn_mtl_swine	wh_dlc03_vo_culture_Boar
ovn_mtl_mnt_swine_general_lord	bo1_warboar	ovn_pig_mount_entity	body	ovn_mtl_swine_lord_general	wh_dlc03_vo_culture_Boar
