model	animation_set	variant	scale	actor	ignore_rider_variant_scale	vfx_filter	banner_relative_to_mount
#campaign_mounts_tables;8;db/campaign_mounts_tables/ovn							
wh_dlc06_grn_mnt_squig	cam_rp2_great_cave_squig	wh_dlc06_grn_great_cave_squig_campaign	1.0	wh_dlc06_vo_culture_Squig	false	0	false
ovn_cam_mnt_arb_magic_carpet	cam_fc1_flying_carpet	ovn_arb_flying_carpet	1.0	vo_culture_None	false	0	false
aky_terrorgheist_mount_0	cam_bi2_wyvern	aky_terrorgheist_mount_0	0.7	wh_main_vo_culture_Terrorgheist	false	0	false
ovn_cam_arb_camel	cam_hr1_warhorse	ovn_arb_camel	1.0	wh_main_vo_culture_Horse	false	0	false
ovn_cam_arb_barded_warhorse	cam_hr1_warhorse	ovn_cat_horse	1.0	wh_main_vo_culture_Horse	false	0	false
ovn_araby_ll_mount	cam_bc2_griffon	wh_dlc03_emp_amber_wizard_griffon	0.5	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph	false	0	false
Mount_Elephant	cam_lord_hq3_mammoth	wh_main_arb_royal_war_elephant_cam	0.4	vo_culture_Invalid	true	0	false
wh_dlc05_cam_mnt_wef_great_eagle	cam_bi1_eagle	morrigan_midnight	0.6	wh_main_vo_culture_Eagle	false	0	false
albion_warhorse	cam_hr1_warhorse	albion_warhorse	1.0	wh_main_vo_culture_Horse	true	0	false
albion_warhorse_chariot	cam_wm_marauder_chariot	wh_campaign_nor_marauder_chariot	1.0	wh_main_vo_culture_Horse	false	0	false
dread_chariot_skeletal_steed	cam_wm_tomb_chariot_01	wh2_dlc09_tmb_general_chariot_campaign	1.0	wh2_dlc09_vo_culture_Tomb_Kings	false	0	false
dread_legion_barded_skeletal_steed	cam_hr1_warhorse	dread_legion_barded_skeletal_steed	1.0	wh_main_vo_culture_Skeletal_horse	true	0	false
elo_dread_centurion_horse	cam_hr1_warhorse	wh_vmp_skeletal_steed_campaign	1.0	wh_main_vo_culture_Skeletal_horse	true	0	false
elo_liche_general_barded_steed	cam_hr1_warhorse	dread_legion_barded_skeletal_steed	1.0	wh_main_vo_culture_Skeletal_horse	true	0	false
elo_liche_general_chariot	cam_wm_tomb_chariot_01	wh2_dlc09_tmb_general_chariot_campaign	1.0	wh2_dlc09_vo_culture_Tomb_Kings	true	0	false
ovn_stormrider_mount	cam_bc2_griffon	wh_dlc03_emp_amber_wizard_griffon	0.5	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph	false	0	false
cam_fatandira_warhorse	cam_hr1_warhorse	arb_fatandira_warhorse_campaign	1.0	wh_main_vo_culture_Horse	true	0	false
cam_fatandira_roc	cam_bi1_eagle	arb_fatandira_roc	0.6	wh_main_vo_culture_Hawk	true	0	false
cr_cam_mnt_arb_djinn_skiff	wm_djinn_skifff	arb_golden_magus_djinn_siff_cam	0.35	vo_culture_None	false	0	false
ovn_mtl_mnt_swine_general_lord	cam_bo1_warboar	ovn_mtl_swine_lord_general	1.0	wh_dlc03_vo_culture_Boar	true	0	false
ovn_mtl_mnt_master_chef_wagon	cam_wm_war_altar	elo_supply_wagon	1.0	wh_main_vo_culture_Empire	true	0	false
ovn_mtl_mnt_poultry_general_lord	cam_lord_rp3_cold_one	ovn_mtl_poultry_lord_general	1.0	wh_main_vo_culture_Eagle	true	0	false
elo_marshhound	cam_wf1_giant_wolf	ovn_marsh_hounds	1.0	wh_main_vo_culture_Wolf	true	0	false
hlf_mnt_battleram_cam	cam_bo1_warboar	ovn_cam_mtl_battleram	1.0	wh_dlc03_vo_culture_Boar	true	0	false
ovn_cam_mnt_mtl_swan	cam_bi1_swan	ovn_mtl_swan	0.6	wh_main_vo_culture_Eagle	false	0	false
ovn_cam_mnt_mtl_swan_megenral	cam_bi1_swan	ovn_mtl_swan_mgeneral	0.6	wh_main_vo_culture_Eagle	false	0	false
