bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/ovn_halflings		
missile_damage_mod_mult	ovn_buff_soup_art	ovn_soup_art
melee_defence_mod	ovn_buff_halfling_welf	ovn_halfling_welf
morale	ovn_halfling_hlf_r7_morale	ovn_halfling_hlf_r7
morale	ovn_halfling_ogre_r7_morale	ovn_halfling_ogre_r7
unit_damage_resistance_physical_mod	ovn_halfling_ogre_r7_resistance_physical	ovn_halfling_ogre_r7
morale	ovn_halfling_welf_r7_morale	ovn_halfling_welf_r7
range_mod	ovn_soup_art_r7_range	ovn_soup_art_r7
reload	ovn_soup_art_r7_reload	ovn_soup_art_r7
melee_attack_mod	ovn_halfling_hlf_r7_melee	ovn_halfling_hlf_r7
mod_land_movement_battle	ovn_halfling_welf_r7_speed	ovn_halfling_welf_r7
morale	elo_ogres_trait	elo_ogres
