units_to_exclusive_faction_permissions_tables	0
key	faction	allowed
grudgebringer_cavalry	wh_main_emp_empire	true
grudgebringer_infantry	wh_main_emp_empire	true
grudgebringer_cannon	wh_main_emp_empire	true
grudgebringer_crossbow	wh_main_emp_empire	true
helmgart_bowmen	wh_main_emp_empire	true
keelers_longbows	wh_main_emp_empire	true
dargrimm_firebeard_dwarf_warriors	wh_main_emp_empire	true
azguz_bloodfist_dwarf_warriors	wh_main_emp_empire	true
urblab_rotgut_mercenary_ogres	wh_main_emp_empire	true
treeman_knarlroot	wh_main_emp_empire	true
galed_elf_archers	wh_main_emp_empire	true
elrod_wood_elf_glade_guards	wh_main_emp_empire	true
black_avangers	wh_main_emp_empire	true
carlsson_cavalry	wh_main_emp_empire	true
carlsson_guard	wh_main_emp_empire	true
countess_guard	wh_main_emp_empire	true
vannheim_75th	wh_main_emp_empire	true
treeman_gnarl_fist	wh_main_emp_empire	true
