campaign_group_member_criteria_factions_tables	0
faction	member
wh_main_vmp_rival_sylvanian_vamps	ovn_blood_dragon_climate_chaotic
wh_main_vmp_rival_sylvanian_vamps	ovn_blood_dragon_climate_desert
wh_main_vmp_rival_sylvanian_vamps	ovn_blood_dragon_climate_frozen
wh_main_vmp_rival_sylvanian_vamps	ovn_blood_dragon_climate_island
wh_main_vmp_rival_sylvanian_vamps	ovn_blood_dragon_climate_jungle
wh_main_vmp_rival_sylvanian_vamps	ovn_blood_dragon_climate_magicforest
wh_main_vmp_rival_sylvanian_vamps	ovn_blood_dragon_climate_mountain
wh_main_vmp_rival_sylvanian_vamps	ovn_blood_dragon_climate_ocean
wh_main_vmp_rival_sylvanian_vamps	ovn_blood_dragon_climate_savannah
wh_main_vmp_rival_sylvanian_vamps	ovn_blood_dragon_climate_temperate
wh_main_vmp_rival_sylvanian_vamps	ovn_blood_dragon_climate_wasteland
