land_units_officers_tables	4
key	officer_1	officer_2	standard_bearer_1	standard_bearer_2	musician_1	musician_2	personality_location	additional_personalities
ovn_arb_art_trebuchet							front	
ovn_araby_ll_mount							front	
ovn_araby_ll							front	
akp_brt_ballista							front	
OtF_khemri_knights							front	
OtF_khemri_archers							front	
OtF_khemri_kepra_guard							front	
OtF_khemri_spearmen							front	
OtF_khemri_swordsmen							front	
OtF_khemri_elite_guard							front	
OtF_khemri_rangers							front	
ovn_yeoman							front	
ovn_yeomanarchers							front	
ovn_elephant							front	
ovn_corsairs							front	
ovn_southlander							front	
ovn_prometheans							front	
ovn_slave							front	
ovn_ifreet							front	
ovn_jez							front	
ovn_glad							front	
ovn_scor							front	
ovn_knights_ror							front	
ovn_cat_knights							front	
ovn_cat_knights_ror							front	
ovn_jez_ror							front	
ovn_jag							front	
ovn_jag_ror							front	
ovn_bom_ror							front	
Sultan_Jaffar							front	
Sultan_Jaffar_camel							front	
Djinn_fire							front	
sr_ogre_arb							front	
ovn_arb_art_grand_bombard							front	
ovn_arb_cav_jezzail_camel							front	
ovn_arb_cav_archer_camel							front	
ovn_arb_cav_lancer_camel							front	
ovn_arb_mon_genie							front	
ovn_arb_mon_sea_nymph							front	
ovn_arb_mon_desert_spirit							front	
ovn_arb_mon_fire_efreet							front	
ovn_arb_mon_tempest_djinn							front	
ovn_arb_cha_magician_life_0							front	
ovn_arb_cha_magician_desert_0							front	
ovn_arb_cha_magician_fire_0							front	
ovn_arb_cha_magician_heavens_0							front	
arb_golden_magus							front	
arb_golden_magus_camel							front	
ovn_arb_mon_genie_summoned							front	
arb_sultan_of_flame							front	
roy_arb_cha_nomad							front	
roy_arb_cha_nomad_horse							front	
roy_arb_cha_nomad_horse_jezzail							front	
roy_arb_cha_champion							front	
roy_arb_cha_champion_horse							front	
roy_arb_cha_champion_warhorse							front	
roy_arb_cha_lord_horse							front	
roy_arb_cha_nomad_assassin							front	
roy_arb_cha_nomad_assassin_summoned							front	
arb_fatandira							front	
arb_fatandira_warhorse							front	
ovn_araby_ll_2_mount							front	
ovn_araby_ll_2							front	
roy_arb_cha_lord_horse_2							front	
ovn_khemri_spearmen_summoned_0							front	
ovn_khemri_spearmen_summoned_1							front	
albion_shieldmaiden_ror							front	
albion_bologs_giant_ror							front	
elo_fly_infested_rotwood							front	
albion_woadraider_sworn_ror							front	
alb_cav_noble_first_ror							front	
albion_warriors_lugh							front	
albion_huntresses_warden_ror							front	
albion_centaur_hunter_ror							front	
albion_cachtorr_stonethrower							front	
albion_highlander_ror							front	
elo_boglar_shaman							front	
elo_boglar_shaman_hound							front	
elo_albion_barghest							front	
elo_albion_gryphon							front	
alb_cav_noble							front	
alb_cav_noble_spear							front	
alb_viridian_champ							front	
albion_riders_spear							front	
