attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/!ovn_dread_king	
desert	dread_wh2_dlc09_tmb_veh_skeleton_chariot_0
non_vampire_territory	dread_wh2_dlc09_tmb_veh_skeleton_chariot_0
vampire_territory	dread_wh2_dlc09_tmb_veh_skeleton_chariot_0
wasteland	dread_wh2_dlc09_tmb_veh_skeleton_chariot_0
desert	dread_wh2_dlc09_tmb_veh_skeleton_archer_chariot_0
non_vampire_territory	dread_wh2_dlc09_tmb_veh_skeleton_archer_chariot_0
vampire_territory	dread_wh2_dlc09_tmb_veh_skeleton_archer_chariot_0
wasteland	dread_wh2_dlc09_tmb_veh_skeleton_archer_chariot_0
desert	dread_wh2_dlc09_tmb_veh_khemrian_warsphinx_0
non_vampire_territory	dread_wh2_dlc09_tmb_veh_khemrian_warsphinx_0
vampire_territory	dread_wh2_dlc09_tmb_veh_khemrian_warsphinx_0
wasteland	dread_wh2_dlc09_tmb_veh_khemrian_warsphinx_0
non_vampire_territory	tmb_grave_halberd
desert	tmb_grave_halberd
vampire_territory	tmb_grave_halberd
wasteland	tmb_grave_halberd
non_vampire_territory	elo_dread_inf_grave_guard_0
desert	elo_dread_inf_grave_guard_0
vampire_territory	elo_dread_inf_grave_guard_0
wasteland	elo_dread_inf_grave_guard_0
