building_chain_availability_sets_tables	0
building_chain	id
arb_flaming_scimitar_main	wh_main_bas_teb
arb_flaming_scimitar_barracks	wh_main_bas_teb
arb_flaming_scimitar_support_monsters	wh_main_bas_teb
arb_flaming_scimitar_support_mages	wh_main_bas_teb
arb_flaming_scimitar_structure_movement	wh_main_bas_teb
arb_flaming_scimitar_structure_upkeep	wh_main_bas_teb
arb_flaming_scimitar_structure_replenishment	wh_main_bas_teb
arb_flaming_scimitar_structure_growth	wh_main_bas_teb
arb_flaming_scimitar_defense_bombardment	wh_main_bas_teb
arb_flaming_scimitar_defense_magical_bombardment	wh_main_bas_teb
arb_flaming_scimitar_unique_minaret	wh_main_bas_teb
arb_golden_magus_special_galleon_graveyard	wh_main_bas_teb
