bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/dark_omen_ror	
gunther_schepke	grudgebringer_infantry
armoured_and_shielded	grudgebringer_infantry
wolfgang_schwartzkopf	grudgebringer_cannon
armour_piercing	grudgebringer_cannon
anti_large	grudgebringer_cannon
armoured_and_shielded	grudgebringer_cavalry
willem_fletcher	grudgebringer_crossbow
good_range	helmgart_bowmen
good_range	keelers_longbows
good_range	grudgebringer_crossbow
azguz_bloodfist	azguz_bloodfist_dwarf_warriors
rune_weapon	azguz_bloodfist_dwarf_warriors
armoured_and_shielded	azguz_bloodfist_dwarf_warriors
charge_reflector_vs_large	azguz_bloodfist_dwarf_warriors
dargrimm_firebeard	dargrimm_firebeard_dwarf_warriors
rune_weapon	dargrimm_firebeard_dwarf_warriors
armoured_and_shielded	dargrimm_firebeard_dwarf_warriors
charge_reflector_vs_large	dargrimm_firebeard_dwarf_warriors
armour_piercing	urblab_rotgut_mercenary_ogres
ogre_charge	urblab_rotgut_mercenary_ogres
anti_infantry	urblab_rotgut_mercenary_ogres
terror	treeman_knarlroot
armour_piercing	treeman_knarlroot
large_bst	treeman_knarlroot
anti_large	elrod_wood_elf_glade_guards
charge_reflector_vs_large	elrod_wood_elf_glade_guards
forest_stalker	elrod_wood_elf_glade_guards
forest_stalker	galed_elf_archers
good_range	galed_elf_archers
damage_dealer	black_avangers
frenzy	black_avangers
damage_dealer	carlsson_cavalry
armoured_and_shielded	carlsson_cavalry
armoured_and_shielded	carlsson_guard
damage_dealer	carlsson_guard
damage_dealer	ragnar_wolves
anti_large	countess_guard
armour_piercing	countess_guard
charge_reflector	countess_guard
terror	treeman_gnarl_fist
armour_piercing	treeman_gnarl_fist
large_bst	treeman_gnarl_fist
dodge	ceridan
damage_dealer	ceridan
armoured_and_shielded	vannheim_75th
damage_dealer	eusebio_flagellants
frenzy	eusebio_flagellants
unbreakable	eusebio_flagellants
