ui_unit_bullet_point_unit_overrides_tables	0
bullet_point	unit_key
anti_large	aky_chief_fimir_great_weapons_0
armour_piercing	aky_chief_fimir_great_weapons_0
armoured	aky_chief_fimir_great_weapons_0
anti_large	aky_chief_wolf_werekin_0
damage_dealer	aky_chief_wolf_werekin_0
frenzy	aky_chief_wolf_werekin_0
regeneration	aky_chief_wolf_werekin_0
anti_large	aky_chief_wolf_werekin_1_terrorgheist
armour_piercing	aky_chief_wolf_werekin_1_terrorgheist
poison	aky_chief_wolf_werekin_1_terrorgheist
regeneration	aky_chief_wolf_werekin_1_terrorgheist
spellcaster	aky_chief_wolf_werekin_1_terrorgheist
terror	aky_chief_wolf_werekin_1_terrorgheist
