campaign_key	faction_key	level	skill_key	subculture_key	image_path	unlocked_at_rank
#character_skill_level_details_tables;0;db/character_skill_level_details_tables/elo_albion						
		1	sessair_leader		x	19
		1	fir_leader		x	19
		1	filian_leader		x	19
		1	finian_leader		x	19
		1	warleader_mount_skill		x	4
		1	warleader_chariot_skill		x	9
		1	teachings_old_ones		x	9
		1	oral_tradition		x	9
		1	swamp_monsters		x	19
		1	ancient_allies		x	19
		1	mount_horse_truthsayer_beasts_skill		x	4
		1	mount_horse_truthsayer_light_skill		x	4
		1	mount_horse_truthsayer_life_skill		x	4
		1	chief_hunter		x	9
		1	chief_leader		x	9
		1	chief_bodyguard		x	9
		1	chief_mount_skill		x	4
		1	chief_chariot_skill		x	9
		1	wyrd_mount_skill		x	4
		1	warrior_shaman		x	9
		1	wyrd_spellbinder		x	9
		1	wyrd_channeler		x	9
		1	morrigan_legendary_staff		x	11
		1	morrigan_raven_skill		x	9
		1	morrigan_magical_being		x	14
		1	morrigan_wings_bound		x	9
		1	elo_staff_of_dural_durak		x	11
		1	elo_amulet_old_ones		x	19
		1	dural_mount_horse		x	4
		1	dural_mount_chariot		x	9
		1	dural_mentor		x	14
		1	dural_leader_circle		x	19
		1	dural_loremaster		x	9
