ancillary_included_subcultures_tables	0
ancillary	subculture
ovn_anc_weapon_glammyding	wh_main_sc_emp_empire
ovn_anc_talisman_bottomless_hat_of_rabbit	wh_main_sc_emp_empire
ovn_anc_arcane_item_cathay_fireworks	wh_main_sc_emp_empire
ovn_anc_weapon_aragands_sword	wh_main_sc_emp_empire
ovn_anc_enchanted_item_pig_swill	wh_main_sc_emp_empire
ovn_anc_talisman_friendship_bracelet_legles	wh_main_sc_emp_empire
ovn_anc_enchanted_item_ring_of_concealment	wh_main_sc_emp_empire
ovn_anc_talisman_friendship_bracelet_giblit	wh_main_sc_emp_empire
ovn_anc_enchanted_item_bimbos_book	wh_main_sc_emp_empire
