unit_abilities_to_additional_ui_effects_juncs_tables	0
ability	effect
roy_unit_active_arb_strike_from_the_shadows	wh2_main_all_flanking
roy_unit_active_arb_strike_from_the_shadows	wh2_main_all_hiding
roy_unit_active_arb_doppelgang	wh2_dlc10_all_summon_no_damage
roy_unit_active_arb_doppelgang	ovn_all_summon_arb_nomad_assassin_mirror
Black_Book_Of_Ibn_Naggazar	wh_main_all_direct_damage_self
Black_Book_Of_Ibn_Naggazar	wh_main_all_improved_recharge_rate_high
Black_Book_Of_Ibn_Naggazar	wh_main_all_increased_max_power_high
arb_jaffar_serpent_djinn	wh2_main_all_good_against_armour
arb_jaffar_serpent_djinn	wh2_main_army_ap_damage_ranged
arb_jaffar_serpent_djinn	wh2_main_spell_medium_wind
