effect	icon	priority	icon_negative	category	is_positive_value_good
#effects_tables;3;db/effects_tables/ovn_hlf_under					
ovn_create_restaurant_enable		0		campaign	true
ovn_create_restaurant_disable	edict_host_festag.png	1	edict_host_festag.png	campaign	true
ovn_create_restaurant_cost_mod	edict_host_festag.png	1	edict_host_festag.png	campaign	false
ovn_create_restaurant_cost_mod_hidden		0		campaign	false
ovn_restaurant_exclusive_food_chains	construction.png	102	construction.png	campaign	false
ovn_restaurant_faction_effect_dummy	skaven_food.png	1	skaven_food.png	campaign	true
ovn_hlf_restaurant_chaos_corruption	religion_chaos.png	104	religion_chaos.png	campaign	false
ovn_hlf_restaurant_chaos_corruption_meat	religion_chaos.png	104	religion_chaos.png	campaign	false
ovn_enable_unit_passive_running_with_the_herd	spell_ability.png	0	spell_ability.png	battle	true
