frontend_faction_effect_junctions_tables	1
effect	group	value	scope
wh_main_effect_ability_enable_fireball	ovn_flaming_scimitar_lord	1	character_to_character_own
wh_main_effect_agent_movement_range_mod	ovn_flaming_scimitar_lord	10	general_to_force_own
arb_golden_magus_innate_djinn_upkeep	ovn_flaming_scimitar_lord	-30	general_to_force_own
wh2_dlc11_lord_trait_tech_admiral_ship	ovn_flaming_scimitar_lord	1	faction_to_faction_own_unseen
wh_dlc08_effect_attrition_immunity_high_seas	ovn_vor_flaming_scimitar	1	faction_to_force_own
wh_main_effect_force_all_campaign_raid_income	ovn_vor_flaming_scimitar	50	faction_to_faction_own_unseen
arb_golden_magus_diplomatic_relations_sartosa	ovn_vor_flaming_scimitar	50	faction_to_faction_own_unseen
arb_golden_magus_diplomatic_relations_sartosa	ovn_flaming_scimitar	50	faction_to_faction_own_unseen
wh_main_effect_ability_enable_fireball	ovn_vor_flaming_scimitar_lord	1	character_to_character_own
wh_main_effect_agent_movement_range_mod	ovn_vor_flaming_scimitar_lord	10	general_to_force_own
arb_golden_magus_innate_djinn_upkeep	ovn_vor_flaming_scimitar_lord	-30	general_to_force_own
wh2_dlc11_lord_trait_tech_admiral_ship	ovn_vor_flaming_scimitar_lord	1	faction_to_faction_own_unseen
