battle_personalities_tables	9
key	man_animations_table	type	variant	battle_entity	rider_attachment_point	battle_entity_stats	autonomous_rider_hero
grudgebringer_infantry_officer	hu1_empire_sword_and_shield	officer	grudgebringer_infantry_officer	grudgebringer_infantry_officer		grudgebringer_infantry_officer	false
grudgebringer_cannon_officer	hu1_empire_helstorm_crew	officer	grudgebringer_cannon_officer	grudgebringer_cannon_officer			false
grudgebringer_cavalry_officer	hu1_leoncoeur_hr1_warhorse_sword_and_shield	officer	grudgebringer_cavalry_officer	grudgebringer_cavalry_officer		grudgebringer_cavalry_officer	false
azguz_bloodfist_dwarf_warriors_officer	hu3_runelord_hammer	officer	azguz_bloodfist_dwarf_warriors_officer	azguz_bloodfist_dwarf_warriors_officer		azguz_bloodfist_dwarf_warriors_officer	false
dargrimm_firebeard_dwarf_warriors_officer	hu3_runelord_hammer	officer	dargrimm_firebeard_dwarf_warriors_officer	dargrimm_firebeard_dwarf_warriors_officer		dargrimm_firebeard_dwarf_warriors_officer	false
black_avangers_officer	hu1_empire_dual_hammer	officer	black_avangers_officer	black_avangers_officer		black_avangers_officer	false
grudgebringer_crossbow_officer	hu1_empire_sword_crossbow	officer	grudgebringer_crossbow_officer	grudgebringer_crossbow_officer			false
carlsson_cavalry_officer	hu1_bretonnian_hr1_warhorse_2handed_sword	officer	carlsson_cavalry_officer	carlsson_cavalry_officer		carlsson_cavalry_officer	false
countess_guard_officer	hu1b_vampire_sword	officer	countess_guard_officer	countess_guard_officer		countess_guard_officer	false
countess_guard_officer1	hu1_empire_2handed_sword	officer	countess_guard_officer1	countess_guard_officer1		countess_guard_officer1	false
vannheim_75th_officer	hu1_empire_hr1_warhorse_sword_and_shield	officer	vannheim_75th_officer	vannheim_75th_officer		vannheim_75th_officer	false
