special_ability_phase_attribute_effects_tables	1
attribute	phase	attribute_type
cant_run	cr_unit_formation_shieldwall	negative
charge_reflector	cr_unit_formation_shieldwall	positive
immune_to_psychology	ovn_character_passive_unlikely_friendship	positive
immune_to_psychology	arb_jaffar_aura_will	positive
immune_to_psychology	ovn_feast	positive
stalk	roy_phase_active_arb_strike_from_the_shadows	positive
unspottable	roy_phase_active_arb_strike_from_the_shadows	positive
snipe	roy_phase_active_arb_strike_from_the_shadows	positive
unspottable	roy_phase_active_arb_doppelgang	positive
rampage	uncontrollable_rage	negative
fatigue_immune	elo_albion_something_prove	positive
unbreakable	elo_albion_holy_warriors_unbreakable	positive
causes_fear	elo_albion_holy_warriors_unbreakable	positive
fatigue_immune	elo_albion_protectors_world	positive
stalk	difficult_to_spot	positive
hide_forest	difficult_to_spot	positive
rampage	temper_tantrum	positive
causes_terror	elo_so_hungry	positive
stalk	ovn_mystic_mist	positive
expendable	elo_hand_terror_past	negative
immune_to_psychology	elo_hand_terror_past	negative
causes_fear	elo_hand_terror_past	negative
causes_terror	elo_hand_punished_one	positive
fatigue_immune	elo_hand_punished_one	positive
rampage	lzd_amazon_poison	positive
unbreakable	ovn_arb_baz_wep_08_matyr_shard_ability	positive
stalk	ovn_arb_baz_escape	positive
unspottable	ovn_arb_baz_escape	positive
stalk	arb_fatandira_desert_feint	positive
unspottable	arb_fatandira_desert_feint	positive
fatigue_immune	ovn_hlf_glibfoot_adv_continues	positive
unbreakable	hlf_glibfoot_for_the_moot	positive
stalk	hlf_glibfoot_thief_tactics	positive
unspottable	hlf_glibfoot_thief_tactics	positive
fatigue_res	ovn_rot_mark_nurgle	positive
snipe	ovn_hlf_mislead	positive
stalk	ovn_hlf_mislead	positive
unspottable	ovn_hlf_mislead	positive
