ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/ovn_dread_king	
wh2_dlc09_unit_passive_unstable_mark_ii_sand	wh_main_tmb_inf_grave_guard
wh2_dlc09_unit_passive_unstable_sand	wh_main_tmb_inf_grave_guard
wh2_dlc09_faction_passive_realm_of_souls_tier_1	wh_main_tmb_inf_grave_guard
wh2_dlc09_faction_passive_realm_of_souls_tier_2	wh_main_tmb_inf_grave_guard
wh2_dlc09_faction_passive_realm_of_souls_tier_3	wh_main_tmb_inf_grave_guard
wh2_dlc09_faction_passive_realm_of_souls_tier_1	tmb_grave_halberd
wh2_dlc09_faction_passive_realm_of_souls_tier_2	tmb_grave_halberd
wh2_dlc09_faction_passive_realm_of_souls_tier_3	tmb_grave_halberd
wh2_dlc09_unit_passive_unstable_mark_ii_sand	tmb_grave_halberd
wh2_dlc09_unit_passive_unstable_sand	tmb_grave_halberd
