effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/ovn_wolf_halfling_lordsheroes		
ovn_feast_aura_enable	enable	ovn_feast
hlf_master_chef_enable_regeneration_passive_aura	enable	hlf_master_chef_regeneration_passive_aura
hlf_master_chef_enable_ability_earth_blood	enable	hlf_master_chef_earth_blood
hlf_master_chef_disable_ability_earth_blood	disable	hlf_master_chef_earth_blood
hlf_master_chef_enable_ability_earth_blood_upgraded	enable	hlf_master_chef_earth_blood_upgraded
hlf_master_chef_uses_ability_earth_blood_upgraded	uses_mod	hlf_master_chef_earth_blood_upgraded
hlf_master_chef_enable_hot_spices_aura	enable	hlf_master_chef_hot_spices
hlf_master_chef_enable_flush_soup	enable	hlf_master_chef_flush_soup
ovn_enable_hlf_mislead	enable	ovn_hlf_mislead
