ui_unit_bullet_point_unit_overrides_tables	0
bullet_point	unit_key
anti_infantry	OtF_khemri_knights
armoured_and_shielded	OtF_khemri_knights
good_range	OtF_khemri_archers
anti_infantry	OtF_khemri_kepra_guard
armour_piercing	OtF_khemri_kepra_guard
anti_large	OtF_khemri_spearmen
charge_reflector_vs_large	OtF_khemri_spearmen
shielded	OtF_khemri_spearmen
shielded	OtF_khemri_swordsmen
anti_large	OtF_khemri_elite_guard
shielded	OtF_khemri_elite_guard
armour_piercing_ranged	OtF_khemri_rangers
good_range	OtF_khemri_rangers
master_ambusher	OtF_khemri_rangers
vanguard_deployment	OtF_khemri_rangers
anti_infantry	ovn_elephant
rampage	ovn_elephant
terror	ovn_elephant
anti_infantry	ovn_corsairs
vanguard_deployment	ovn_corsairs
shielded	ovn_yeoman
vanguard_deployment	ovn_yeoman
very_fast	ovn_yeoman
vanguard_deployment	ovn_yeomanarchers
very_fast	ovn_yeomanarchers
armoured_and_shielded	ovn_cat_knights
armoured_and_shielded	ovn_cat_knights_ror
armour_piercing_ranged	ovn_jez
good_range	ovn_jez
vanguard_deployment	ovn_jez
armour_piercing_ranged	ovn_jez_ror
good_range	ovn_jez_ror
vanguard_deployment	ovn_jez_ror
anti_infantry	ovn_knights_ror
armoured_and_shielded	ovn_knights_ror
armour_piercing	ovn_southlander
anti_infantry	ovn_elephant_ror
terror	ovn_elephant_ror
rampage	ovn_elephant_ror
anti_large	ovn_bom_ror
armour_piercing_ranged	ovn_bom_ror
anti_infantry	ovn_scor
armour_piercing	ovn_scor
armoured	ovn_scor
terror	ovn_scor
armour_piercing	ovn_prometheans
armoured	ovn_prometheans
defender	ovn_prometheans
armoured	ovn_jag
shielded	ovn_jag
armoured	ovn_jag_ror
shielded	ovn_jag_ror
shielded	ovn_glad
rampage	ovn_ifreet
terror	ovn_ifreet
large_bst	ovn_ifreet
shielded	ovn_slave
armour_piercing	sr_ogre_arb
poor_morale	sr_ogre_arb
good_range	ovn_bom_ror
low_rate_of_fire	ovn_bom_ror
armour_piercing	hous_nec
armour_piercing_ranged	hous_nec
fire_whilst_moving	hous_nec
terror	hous_nec
