faction_agent_permitted_subtypes_tables	0
agent	faction	subtype
general	wh_dlc08_nor_naglfarlings	chs_sorcerer_lord_death
general	wh_dlc08_nor_naglfarlings	chs_sorcerer_lord_fire
general	wh_dlc08_nor_naglfarlings	chs_sorcerer_lord_metal
general	wh_dlc08_nor_naglfarlings	chs_lord
colonel	wh_dlc08_nor_naglfarlings	chs_lord
champion	wh_dlc08_nor_naglfarlings	chs_exalted_hero
dignitary	wh_dlc08_nor_naglfarlings	default
engineer	wh_dlc08_nor_naglfarlings	default
minister	wh_dlc08_nor_naglfarlings	default
runesmith	wh_dlc08_nor_naglfarlings	default
spy	wh_dlc08_nor_naglfarlings	default
wizard	wh_dlc08_nor_naglfarlings	chs_chaos_sorcerer_death
wizard	wh_dlc08_nor_naglfarlings	chs_chaos_sorcerer_fire
wizard	wh_dlc08_nor_naglfarlings	chs_chaos_sorcerer_metal
wizard	wh_dlc08_nor_naglfarlings	dlc07_chs_chaos_sorcerer_shadow
wizard	wh_dlc08_nor_naglfarlings	rbt_blightstormer
