special_ability_groups_to_units_junctions_tables	0
ability_group	unit
wh_dlc03_lore_beasts	albion_truthsayer_beast
wh_dlc03_lore_beasts	albion_truthsayer_beast_horse
wh_dlc05_lore_life	albion_truthsayer_life
wh_dlc05_lore_life	albion_truthsayer_life_horse
wh_main_lore_light	albion_truthsayer_light
wh_main_lore_light	albion_truthsayer_light_horse
elo_lore_truthsayer	albion_truthsayer_truth
elo_lore_truthsayer	albion_truthsayer_truth_horse
elo_lore_morrigan	albion_morrigan
elo_lore_morrigan	albion_morrigan_bird
elo_lore_wyrd	albion_wyrd_druid
elo_lore_wyrd	albion_wyrd_druid_horse
elo_lore_truthsayer	bl_elo_dural_durak
elo_lore_truthsayer	bl_elo_dural_durak_horse
elo_lore_truthsayer	bl_elo_dural_durak_chariot
