effect	icon	priority	icon_negative	category	is_positive_value_good
#effects_tables;3;db/effects_tables/ovn_wolf_hafling_lordsheroes					
wh_main_effect_agent_cap_increase_spy_fieldwarden	agent.png	2	agent.png	campaign	true
wh_main_effect_agent_enable_recruitment_fieldwarden	agent.png	2	agent.png	campaign	true
wh_main_effect_agent_cap_increase_fieldwarden_level	agent.png	3	agent.png	campaign	true
wh_main_effect_agent_cap_increase_dignatary_master_chef	agent.png	2	agent.png	campaign	true
wh_main_effect_agent_enable_recruitment_master_chef	agent.png	2	agent.png	campaign	true
wh_main_effect_agent_cap_increase_master_chef_level	agent.png	3	agent.png	campaign	true
ovn_feast_aura_enable	spell_ability.png	600	spell_ability.png	battle	true
hlf_master_chef_regen_aura_enable	general_ability.png	1	general_ability.png	battle	true
hlf_master_chef_enable_regeneration_passive_aura	general_ability.png	1	general_ability.png	battle	true
hlf_master_chef_enable_ability_earth_blood	general_ability.png	1	general_ability.png	battle	true
hlf_master_chef_disable_ability_earth_blood	general_ability.png	2	general_ability.png	battle	true
hlf_master_chef_enable_ability_earth_blood_upgraded	general_ability.png	1	general_ability.png	battle	true
hlf_master_chef_uses_ability_earth_blood_upgraded	general_ability.png	2	general_ability.png	battle	true
hlf_master_chef_enable_hot_spices_aura	spell_ability.png	600	spell_ability.png	battle	true
wh_main_effect_agent_cap_increase_champion_sheriff	agent.png	2	agent.png	campaign	true
wh_main_effect_agent_enable_recruitment_sheriff	agent.png	2	agent.png	campaign	true
wh_main_effect_agent_cap_increase_sheriff_level	agent.png	3	agent.png	campaign	true
hlf_master_chef_enable_flush_soup	spell_ability.png	600	spell_ability.png	battle	true
hlf_moot_general_enable_poultry_mount	mount.png	3	mount.png	campaign	true
hlf_master_chef_enable_wagon_mount	mount.png	3	mount.png	campaign	true
hlf_sheriff_enable_pig_mount	mount.png	3	mount.png	campaign	true
ovn_enable_hlf_mislead	general_ability.png	600	general_ability.png	battle	true
