technology_node_links_tables	2
child_key	initial_descent_tiers	parent_key	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset
elo_fimir_slave_eco_2_belakor	0	elo_fimir_slave_eco_1_belakor	3	1	0.0	0.0
elo_fimir_slave_eco_3_belakor	0	elo_fimir_slave_eco_2_belakor	3	1	0.0	0.0
elo_fimir_slave_eco_4_belakor	0	elo_fimir_slave_eco_3_belakor	3	1	0.0	0.0
elo_fimir_slave_eco_5_belakor	0	elo_fimir_slave_eco_4_belakor	3	1	0.0	0.0
elo_fimir_culture_eco_belakor	0	elo_fimir_slave_eco_5_belakor	3	1	0.0	0.0
elo_fimir_eco_military_belakor	0	elo_fimir_slave_eco_5_belakor	2	4	0.0	0.0
elo_fimir_culture_2_belakor	0	elo_fimir_culture_1_belakor	3	1	0.0	0.0
elo_fimir_culture_3_belakor	0	elo_fimir_culture_2_belakor	3	1	0.0	0.0
elo_fimir_culture_4_belakor	0	elo_fimir_culture_3_belakor	3	1	0.0	0.0
elo_fimir_culture_5_belakor	0	elo_fimir_culture_4_belakor	3	1	0.0	0.0
elo_fimir_culture_eco_belakor	0	elo_fimir_culture_5_belakor	2	4	0.0	0.0
elo_fimir_military_2_belakor	0	elo_fimir_military_1_belakor	3	1	0.0	0.0
elo_fimir_military_3_belakor	0	elo_fimir_military_2_belakor	3	1	0.0	0.0
elo_fimir_military_4_belakor	0	elo_fimir_military_3_belakor	3	1	0.0	0.0
elo_fimir_military_5_belakor	0	elo_fimir_military_4_belakor	3	1	0.0	0.0
elo_fimir_eco_military_belakor	0	elo_fimir_military_5_belakor	3	1	0.0	0.0
elo_fimir_military_magic_belakor	0	elo_fimir_military_5_belakor	2	4	0.0	0.0
elo_fimir_magic_2_belakor	0	elo_fimir_magic_1_belakor	3	1	0.0	0.0
elo_fimir_magic_3_belakor	0	elo_fimir_magic_2_belakor	3	1	0.0	0.0
elo_fimir_magic_4_belakor	0	elo_fimir_magic_3_belakor	3	1	0.0	0.0
elo_fimir_magic_5_belakor	0	elo_fimir_magic_4_belakor	3	1	0.0	0.0
elo_fimir_military_magic_belakor	0	elo_fimir_magic_5_belakor	3	1	0.0	0.0
elo_fimir_magic_belakor	0	elo_fimir_magic_5_belakor	2	4	0.0	0.0
elo_fimir_chaos_belakor_2	0	elo_fimir_chaos_belakor_1	3	1	0.0	0.0
elo_fimir_chaos_belakor_3	0	elo_fimir_chaos_belakor_2	3	1	0.0	0.0
elo_fimir_chaos_belakor_4	0	elo_fimir_chaos_belakor_3	3	1	0.0	0.0
elo_fimir_chaos_belakor_5	0	elo_fimir_chaos_belakor_4	3	1	0.0	0.0
elo_fimir_magic_belakor	0	elo_fimir_chaos_belakor_5	3	1	0.0	0.0
elo_fimir_loyalist_creatures_belakor	0	elo_fimir_chaos_belakor_5	2	4	0.0	0.0
elo_fimir_swamp_creatures_2_belakor	0	elo_fimir_swamp_creatures_1_belakor	3	1	0.0	0.0
elo_fimir_swamp_creatures_3_belakor	0	elo_fimir_swamp_creatures_2_belakor	3	1	0.0	0.0
elo_fimir_swamp_creatures_4_belakor	0	elo_fimir_swamp_creatures_3_belakor	3	1	0.0	0.0
elo_fimir_swamp_creatures_5_belakor	0	elo_fimir_swamp_creatures_4_belakor	3	1	0.0	0.0
elo_fimir_loyalist_creatures_belakor	0	elo_fimir_swamp_creatures_5_belakor	3	1	0.0	0.0
