ancillary_to_effects_tables	0
ancillary	effect	effect_scope	value
ovn_arb_baz_arm_01_copher	wh_main_effect_character_stat_mod_armour	character_to_character_own	12.0
ovn_arb_baz_arm_01_copher	wh_main_effect_character_stat_mod_battle_movement_speed	character_to_character_own	6.0
ovn_arb_baz_arm_02_atabeg	wh_main_effect_character_stat_mod_personal_aura_morale_effect	character_to_character_own	5.0
ovn_arb_baz_arm_02_atabeg	ovn_araby_tech_state_inf_md	character_to_force_own	4.0
ovn_arb_baz_arm_02_atabeg	wh_main_effect_character_stat_mod_armour	character_to_character_own	7.0
ovn_arb_baz_arm_03_sand_helm	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	20.0
ovn_arb_baz_arm_03_sand_helm	wh_main_effect_character_stat_mod_armour	character_to_character_own	6.0
ovn_arb_baz_arm_03_sand_helm	wh_main_effect_military_force_winds_of_magic_starting_mod_enemy	general_to_force_enemy_regionwide	-8.0
ovn_arb_baz_arm_04_dwell_terror	wh2_dlc13_effect_xp_gain_increase_versus_undead	general_to_force_own	80.0
ovn_arb_baz_arm_04_dwell_terror	wh2_dlc14_effect_unit_enable_attribute_immpsy_when_fighting_undead	character_to_character_own	1.0
ovn_arb_baz_arm_04_dwell_terror	wh2_main_effect_character_stat_mod_melee_damage_versus_undead	character_to_character_own	25.0
ovn_arb_baz_arm_05_lost_breastplate	ovn_effect_magic_desert_enable_quicksand	character_to_character_own	1.0
ovn_arb_baz_arm_05_lost_breastplate	wh_main_effect_character_stat_mod_armour	character_to_character_own	15.0
ovn_arb_baz_arm_06_uzzal_tear	wh_main_effect_character_stat_mod_armour	character_to_character_own	8.0
ovn_arb_baz_arm_06_uzzal_tear	wh_main_effect_unit_enable_attribute_immune_to_psychology	character_to_character_own	1.0
ovn_arb_baz_arm_06_uzzal_tear	wh2_dlc11_effect_attrition_immunity_chaos	general_to_force_own	1.0
ovn_arb_baz_arm_06_uzzal_tear	wh2_dlc10_effect_character_stat_mod_ward_save_vs_chaos_norsca_beastmen	character_to_character_own	20.0
ovn_arb_baz_arm_07_oasis_heart	wh2_main_effect_force_unit_stat_melee_attack_in_desert_terrain	character_to_character_own	10.0
ovn_arb_baz_arm_07_oasis_heart	ovn_arb_baz_heal	character_to_character_own	1.0
ovn_arb_baz_arm_08_gorgon_shield	wh2_main_effect_character_stat_enable_discourage_attacks	character_to_character_own	1.0
ovn_arb_baz_arm_08_gorgon_shield	wh_main_effect_unit_enable_attribute_fear	character_to_character_own	1.0
ovn_arb_baz_arm_08_gorgon_shield	wh_main_effect_character_stat_mod_ward_save_missile	character_to_character_own	15.0
ovn_arb_baz_arm_08_gorgon_shield	ovn_arb_baz_arm_08_gorgon_shield_ability	character_to_character_own	1.0
ovn_arb_baz_arm_09_faith_shield	wh_main_effect_unit_enable_attribute_unbreakable	character_to_character_own	1.0
ovn_arb_baz_arm_09_faith_shield	wh_main_effect_character_stat_mod_armour	character_to_character_own	5.0
ovn_arb_baz_arm_09_faith_shield	ovn_arb_baz_arm_09_faith_shield_ability	character_to_character_own	1.0
ovn_arb_baz_arm_10_scorpion_armour	wh2_dlc09_effect_ability_enable_scorpion_armour	character_to_character_own	1.0
ovn_arb_baz_arm_10_scorpion_armour	wh_main_effect_character_stat_mod_armour	character_to_character_own	14.0
ovn_arb_baz_arm_10_scorpion_armour	wh_main_effect_character_stat_enable_poison_attacks	character_to_character_own	1.0
ovn_arb_baz_arm_10_scorpion_armour	wh_main_effect_character_stat_mod_battle_movement_speed	character_to_character_own	6.0
ovn_arb_baz_arm_11_khrumak_gift	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	25.0
ovn_arb_baz_arm_11_khrumak_gift	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	10.0
ovn_arb_baz_arm_11_khrumak_gift	wh_main_effect_character_stat_mod_armour	character_to_character_own	20.0
ovn_arb_baz_arm_12_sultan_armour	wh_main_effect_character_stat_mod_armour	character_to_character_own	15.0
ovn_arb_baz_arm_12_sultan_armour	wh_main_effect_character_stat_mod_morale	general_to_force_own	10.0
ovn_arb_baz_wep_01_golden_scimitar	wh_main_effect_character_stat_mod_ap_damage	character_to_character_own	5.0
ovn_arb_baz_wep_01_golden_scimitar	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	5.0
ovn_arb_baz_wep_01_golden_scimitar	wh_main_effect_character_stat_mod_melee_damage	character_to_character_own	8.0
ovn_arb_baz_wep_02_hidden_blade	wh_main_effect_character_stat_mod_ap_damage	character_to_character_own	14.0
ovn_arb_baz_wep_03_corsair_soul	wh2_main_effect_character_stat_melee_attack_at_sea	character_to_force_own	8.0
