issuer_key	mission_key
#cdir_events_mission_issuer_junctions_tables;0;db/cdir_events_mission_issuer_junctions_tables/ovn_missions	
CLAN_ELDERS	ovn_grudge_vortex_move_to_swem
CLAN_ELDERS	ovn_grudge_vortex_take_morgheim
CLAN_ELDERS	ovn_grudge_vortex_take_zandri
CLAN_ELDERS	ovn_grudge_vortex_take_kasabar
CLAN_ELDERS	ovn_grudge_vortex_kill_dk
CLAN_ELDERS	ovn_grudge_vortex_kill_arkhan
CLAN_ELDERS	ovn_troll_me_take_karak_azgal
CLAN_ELDERS	ovn_blood_dragons_me_take_altdorf
CLAN_ELDERS	ovn_blood_dragons_me_take_couronne
CLAN_ELDERS	ovn_blood_dragons_me_take_templehof
CLAN_ELDERS	ovn_blood_dragons_me_take_nuln
CLAN_ELDERS	ovn_grudge_me_move_to_swem
CLAN_ELDERS	ovn_grudge_me_take_morgheim
CLAN_ELDERS	ovn_grudge_me_take_zandri
CLAN_ELDERS	ovn_grudge_me_take_kasabar
CLAN_ELDERS	ovn_grudge_me_kill_dk
CLAN_ELDERS	ovn_grudge_me_kill_arkhan
CLAN_ELDERS	ovn_dk_vortex_take_morgheim
CLAN_ELDERS	ovn_dk_me_take_morgheim
