unit_set_to_unit_junctions_tables	0
exclude	unit_caste	unit_category	unit_class	unit_record	unit_set
false				elo_tomb_guardian	dread_legion_dual
false				elo_tomb_guardian_spears	dread_legion_spears
false				elo_tomb_guardian_2h_waepons	dread_legion_2h
false				elo_tomb_guardian	dread_legion_all
false				elo_tomb_guardian_spears	dread_legion_all
false				elo_tomb_guardian_2h_waepons	dread_legion_all
false				elo_tomb_guardian	wh2_dlc09_tmb_all_melee_infantry
false				elo_tomb_guardian_spears	wh2_dlc09_tmb_all_melee_infantry
false				elo_tomb_guardian_2h_waepons	wh2_dlc09_tmb_all_melee_infantry
false				elo_tomb_guardian	wh2_dlc09_tmb_vet_all_infantry
false				elo_tomb_guardian_spears	wh2_dlc09_tmb_vet_all_infantry
false				elo_tomb_guardian_2h_waepons	wh2_dlc09_tmb_vet_all_infantry
false				elo_tomb_guardian_archers	wh2_dlc09_tmb_all_archer_units
false				elo_tomb_guardian_archers	wh2_dlc09_tmb_all_skeleton
false				elo_tomb_guardian_archers	wh2_dlc09_tmb_inf_skeleton_archer_and_ushabti_archer
false				elo_tomb_guardian_archers	wh2_dlc09_tmb_skeleton_archer
false				elo_tomb_guardian_archers	wh2_dlc09_tmb_vet_all_archer
false				elo_tomb_guardian_archers	dread_archers
false				elo_tomb_guardian_archers	wh2_dlc09_tmb_vet_all_infantry
false				elo_tomb_guardian_archers	dread_legion_all
true				ovn_dkl_mon_skeleton_giant	mp_set_tmb_mon_hierotitan
false				ovn_dkl_mon_skeleton_giant	wh2_dlc09_tmb_all_strctural_units
false				ovn_dkl_mon_skeleton_giant	wh2_dlc09_tmb_mon_heirotitan_0
false				ovn_dkl_mon_skeleton_giant	wh2_dlc09_tmb_titan_sphinx
false				ovn_dkl_mon_skeleton_giant	wh2_dlc09_tmb_vet_all_monster
false				ovn_dkl_mon_skeleton_giant	wh2_mp_single_entity_monsters
true				ovn_vmp_mon_skeleton_giant	all_units_excluding_terror
false				ovn_vmp_mon_skeleton_giant	monsters
false				ovn_vmp_mon_skeleton_giant	mp_set_vmp_mon_varghulf
false				ovn_vmp_mon_skeleton_giant	units_with_hp_regen
false				ovn_vmp_mon_skeleton_giant	vmp_all
false				ovn_vmp_mon_skeleton_giant	vmp_unit_varghulf
false				ovn_vmp_mon_skeleton_giant	vmp_varghulfs
false				ovn_vmp_mon_skeleton_giant	wh2_dlc11_vmp_crypt_horrors_vargheist_terrorgheist_varghulf
false				ovn_vmp_mon_skeleton_giant	wh2_dlc11_vmp_vets_crypt_horrors_ghouls_dire_wolves_varghulfs
false				ovn_vmp_mon_skeleton_giant	wh2_mp_single_entity_monsters
false				ovn_dkl_mon_skeleton_giant	dread_legion_skellie_giant
false				black_grail_knights_tmb	dread_legion_grail_knight
false				elo_dread_inf_grave_guard_0	dread_legion_grave_guard
false				elo_dread_inf_grave_guard_0	wh2_dlc09_tmb_all_melee_infantry
false				elo_dread_inf_grave_guard_0	wh2_dlc09_tmb_vet_all_infantry
false				elo_dread_mummy	wh2_dlc09_tmb_all_melee_infantry
false				elo_dread_mummy	wh2_dlc09_tmb_vet_all_infantry
false				elo_dread_mummy	elo_dread_mummy
