units_to_groupings_military_permissions_tables	0
unit	military_group
wh2_dlc09_tmb_art_casket_of_souls_0	ovn_dread_king
wh2_dlc09_tmb_art_screaming_skull_catapult_0	ovn_dread_king
wh2_dlc09_tmb_cav_hexwraiths	ovn_dread_king
wh2_dlc09_tmb_cav_nehekhara_horsemen_0	ovn_dread_king
wh2_dlc09_tmb_cav_skeleton_horsemen_0	ovn_dread_king
wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	ovn_dread_king
wh2_dlc09_tmb_cha_liche_priest_death_0	ovn_dread_king
wh2_dlc09_tmb_cha_liche_priest_death_1	ovn_dread_king
wh2_dlc09_tmb_cha_liche_priest_light_0	ovn_dread_king
wh2_dlc09_tmb_cha_liche_priest_light_1	ovn_dread_king
wh2_dlc09_tmb_cha_liche_priest_nehekhara_0	ovn_dread_king
wh2_dlc09_tmb_cha_liche_priest_nehekhara_1	ovn_dread_king
wh2_dlc09_tmb_cha_necrotect_0	ovn_dread_king
wh2_dlc09_tmb_cha_necrotect_1	ovn_dread_king
wh2_dlc09_tmb_cha_tomb_king_0	ovn_dread_king
wh2_dlc09_tmb_cha_tomb_king_1	ovn_dread_king
wh2_dlc09_tmb_cha_tomb_king_2	ovn_dread_king
wh2_dlc09_tmb_cha_tomb_king_3	ovn_dread_king
wh2_dlc09_tmb_inf_crypt_ghouls	ovn_dread_king
wh2_dlc09_tmb_inf_nehekhara_warriors_0	ovn_dread_king
wh2_dlc09_tmb_inf_skeleton_archers_0	ovn_dread_king
wh2_dlc09_tmb_inf_skeleton_archers_ror	ovn_dread_king
wh2_dlc09_tmb_inf_skeleton_spearmen_0	ovn_dread_king
wh2_dlc09_tmb_inf_skeleton_spearmen_ror	ovn_dread_king
wh2_dlc09_tmb_inf_skeleton_warriors_0	ovn_dread_king
wh2_dlc09_tmb_inf_tomb_guard_1	ovn_dread_king
wh2_dlc09_tmb_inf_tomb_guard_ror	ovn_dread_king
wh2_dlc09_tmb_mon_carrion_0	ovn_dread_king
wh2_dlc09_tmb_mon_dire_wolves	ovn_dread_king
wh2_dlc09_tmb_mon_fell_bats	ovn_dread_king
wh2_dlc09_tmb_mon_heirotitan_0	ovn_dread_king
wh2_dlc09_tmb_mon_necrosphinx_0	ovn_dread_king
wh2_dlc09_tmb_mon_necrosphinx_ror	ovn_dread_king
wh2_dlc09_tmb_mon_tomb_scorpion_0	ovn_dread_king
wh2_dlc09_tmb_mon_ushabti_0	ovn_dread_king
wh2_dlc09_tmb_mon_ushabti_1	ovn_dread_king
wh2_dlc09_tmb_mon_ushabti_ror	ovn_dread_king
wh2_pro06_tmb_mon_bone_giant_0	ovn_dread_king
wh_dlc04_vmp_cha_necromancer_2	ovn_dread_king
wh_main_vmp_inf_grave_guard_0	ovn_dread_king
wh_main_vmp_mon_crypt_horrors	ovn_dread_king
wh_main_vmp_cha_necromancer_0	ovn_dread_king
wh_main_vmp_cha_necromancer_5	ovn_dread_king
wh_dlc04_vmp_cha_necromancer_1	ovn_dread_king
wh_dlc04_vmp_cha_necromancer_3	ovn_dread_king
Dread_King	ovn_dread_king
Dread_King_2	ovn_dread_king
black_grail_knights_tmb	ovn_dread_king
elo_tomb_guardian	ovn_dread_king
elo_tomb_guardian_2h_waepons	ovn_dread_king
elo_tomb_guardian_spears	ovn_dread_king
elo_liche_general	ovn_dread_king
elo_tomb_guardian_archers	ovn_dread_king
elo_dread_larenscheld	ovn_dread_king
elo_dread_centurion	ovn_dread_king
elo_dread_centurion_horse	ovn_dread_king
elo_dread_centurion_barded_horse	ovn_dread_king
ovn_dkl_mon_skeleton_giant	ovn_dread_king
elo_dread_inf_grave_guard_0	ovn_dread_king
elo_dread_mummy	ovn_dread_king
dread_wh2_dlc09_tmb_veh_khemrian_warsphinx_0	ovn_dread_king
dread_wh2_dlc09_tmb_veh_skeleton_archer_chariot_0	ovn_dread_king
dread_wh2_dlc09_tmb_veh_skeleton_chariot_0	ovn_dread_king
