Loc PackedFile	1
key	text	tooltip
ui_unit_bullet_point_enums_onscreen_name_finmor	Band Leaders	true
ui_unit_bullet_point_enums_onscreen_name_belakor_blessed	Blessed by the Dark Prince	true
ui_unit_bullet_point_enums_tooltip_finmor	The Finmor use cruel ways to keep their servants fighting.	true
ui_unit_bullet_point_enums_tooltip_belakor_blessed	The Harbringer has blessed these Fimir warriors.	true
ui_unit_bullet_point_enums_onscreen_name_disturbed	Disturbed Killers	true
ui_unit_bullet_point_enums_tooltip_disturbed	Restless and disturbed bands of Fimir, survivors of destroyed clans, now seeking for an end.	true
ui_unit_bullet_point_enums_onscreen_name_nice_elf	Nice (for an Elf)	true
ui_unit_bullet_point_enums_tooltip_nice_elf	While Elfs are generally not the most friendly inhabitants of the Old World, they can be surprisingly nice when not stroking their large egos.	true
ui_unit_bullet_point_enums_onscreen_name_stinking_drunk	Stinkin Drunk	true
ui_unit_bullet_point_enums_tooltip_stinking_drunk	Argaad iz drunk, but y-yo-you don 'ave an.... zzzzzzzzz... zzzzz...... huh, wah, uhn excuz... zzzz....	true
ui_unit_bullet_point_enums_onscreen_name_soup_cannon	Soup Cannon	true
ui_unit_bullet_point_enums_tooltip_soup_cannon	This unit shoots [[img:ui/battle ui/ability_icons/wh_main_unit_contact_souped.png]][[/img]]soup at enemy units, debuffing their [[img:icon_melee_attack]][[/img]]melee attack and [[img:icon_armour]][[/img]]armour for a long time.	true
ui_unit_bullet_point_enums_onscreen_name_poor_ranged_damage	Poor Ranged Damage	true
ui_unit_bullet_point_enums_tooltip_poor_ranged_damage	This unit's projectile does low[[img:ui/skins/default/icon_stat_ranged_damage.png]][[/img]]damage.	true
ui_unit_bullet_point_enums_onscreen_name_amazon_venom	Envenomed Arrows	true
ui_unit_bullet_point_enums_tooltip_amazon_venom	Amazons coat their arrows in powerful venoms harvested from the exotic serpents found in Lustria; victims struck by such arrows are sent into wild bouts of hysteria.	true
ui_unit_bullet_point_enums_onscreen_name_amazon_mac	Stunning Blows	true
ui_unit_bullet_point_enums_tooltip_amazon_mac	Heavy strikes from these exotic clubs can debilitate and crush the defense of even the most armored of foes.	true
ui_unit_bullet_point_enums_tooltip_demonic_flesh	Bel'akor's body is unnaturally resilient to all kinds of damage. It will be difficult to bring this monster down.	true
ui_unit_bullet_point_enums_onscreen_name_demonic_flesh	Demonic Flesh	true
ui_unit_bullet_point_enums_tooltip_uncontrollable_rage	It takes much of Bel'akor's concentration to suppress the unholy rage boiling within him. If he is pushed too far, he will rampage through the enemies lines with wild abandon.	true
ui_unit_bullet_point_enums_onscreen_name_uncontrollable_rage	Uncontrollable Rage	true
ui_unit_bullet_point_enums_tooltip_unstable_form	The body of a Viridian Lord maintains form by the willpower and faith of the warrior soul inside alone. Once this determination wavers, the body starts to crumble.	true
ui_unit_bullet_point_enums_onscreen_name_unstable_form	Unstable Form	true
ui_unit_bullet_point_enums_tooltip_woad_paint	Woad Paint is made and applied by druids and truthsayers. It binds excess winds of magic and protects the wearer from some of the physical attacks. If an area is saturated with unused magic, the protection provided will be more efficient.	true
ui_unit_bullet_point_enums_onscreen_name_woad_paint	Woad Paint	true
ui_unit_bullet_point_enums_tooltip_disciplined	Having mastered their temper, they no longer suffer from the mood swings so common in the warbands of Albion, allowing them to utilize their war fury without any drawbacks.	true
ui_unit_bullet_point_enums_onscreen_name_disciplined	Disciplined	true
ui_unit_bullet_point_enums_tooltip_devestating_charge	As long as they aren't too injured or weakened, the charge of this unit will be savage, uncompromising and simply devastating.	true
ui_unit_bullet_point_enums_onscreen_name_devestating_charge	Devastating Charge	true
ui_unit_bullet_point_enums_tooltip_incredible_will	Even if the body is broken, Highlanders will attempt to fight on for some seconds, forcing their body to keep on moving by sheer willpower alone.	true
ui_unit_bullet_point_enums_onscreen_name_incredible_will	Unbreakable Will	true
ui_unit_bullet_point_enums_tooltip_something_prove	These warriors have focused on proving their worth on the battlefield. As long as their will is unbroken, they will push themselves beyond their limits.	true
ui_unit_bullet_point_enums_onscreen_name_something_prove	Something to Prove	true
ui_unit_bullet_point_enums_tooltip_servants_lugh	These warriors have dedicated themselves to the Sun God who in turn imbues their weapons with flame and grants protection against fire, or so it is believed by the inhabitants. It may also be connected to a secret rite of initiation, overseen by the Truthsayers.	true
ui_unit_bullet_point_enums_onscreen_name_servants_lugh	Servants of the Sun God	true
ui_unit_bullet_point_enums_onscreen_name_embalmed_bodies	Embalmed Bodies	false
ui_unit_bullet_point_enums_tooltip_embalmed_bodies	These Mummies have been embalmed and reinforced with secret ointments and oils, making their bodies highly resistant to damage - but also highly flammable.	false
ui_unit_bullet_point_enums_onscreen_name_slow_but_mighty	Slow but Mighty	false
ui_unit_bullet_point_enums_tooltip_slow_but_mighty	Mummies are no mere zombies, they fight with skill and strength beyond normal humans. However, the way they have been preserved makes them slow on the advance.	false
ui_unit_bullet_point_enums_tooltip_curse_of_the_mummy	The mere touch of a Mummy curses their opponents, sapping their strength and reducing their ability to fight back.	false
ui_unit_bullet_point_enums_onscreen_name_curse_of_the_mummy	Curse of the Mummy	false
ui_unit_bullet_point_enums_tooltip_cant_fight	This unit has no offensive capabilities at all and exists only to support other units. It relies on its allies for protection.	false
ui_unit_bullet_point_enums_onscreen_name_cant_fight	Can't Fight	false
ui_unit_bullet_point_enums_tooltip_support_unit	The main purpose of this unit is to make the units around it better, not to gain kills by itself.	false
ui_unit_bullet_point_enums_onscreen_name_support_unit	Supporter	false
ui_unit_bullet_point_enums_tooltip_bad_air_duelist	This dragon is very young, inexperienced and thrust into war far too early. They are at a disadvantage in air fights against more experienced flyers, even if those creatures look weaker.	false
ui_unit_bullet_point_enums_onscreen_name_bad_air_duelist	Bad Air Duelist	false
ui_unit_bullet_point_enums_tooltip_baby_dragon_breath	Although this dragon is very young, it can still breath flames. They are not as strong or damaging as the flames of a young adult though.	false
ui_unit_bullet_point_enums_onscreen_name_baby_dragon_breath	Hatchling Dragon Breath	false
ui_unit_bullet_point_enums_onscreen_name_whirling_pans	Whirling Pots and Pans	false
ui_unit_bullet_point_enums_tooltip_whirling_pans	While not really shielded, the legendary luck of the halflings causes a surprising amount of projectiles to be deflected by the pans, ladles and similar cooking tools the chefs wield.	false
ui_unit_bullet_point_enums_tooltip_troll_fodder	If Trolls feel down, frightened or have otherwise low morale they will devour this unit to stay in the fight longer.	true
ui_unit_bullet_point_enums_onscreen_name_troll_fodder	Troll Fodder	true
ui_unit_bullet_point_enums_tooltip_mocking_laughter	Night Trolls are known for their mocking laughter while they tear apart their opponents, intimidating their enemies that way.	true
ui_unit_bullet_point_enums_onscreen_name_mocking_laughter	Mocking Laughter	true
ui_unit_bullet_point_enums_onscreen_name_gunther_schepke	Led by Gunther Schepke	true
