special_ability_phase_stat_effects_tables	3
phase	value	stat	how
spell_ice_shield_of_cold_upgraded	20.0	stat_armour	add
spell_ice_shield_of_cold_upgraded	20.0	stat_resistance_all	add
spell_ice_shield_of_cold_upgraded	15.0	stat_melee_defence	add
spell_ice_shield_of_cold	20.0	stat_resistance_all	add
spell_ice_shield_of_cold	15.0	stat_melee_defence	add
spell_ice_frost_blade_upgraded	1.3	stat_melee_damage_ap	mult
spell_ice_frost_blade_upgraded	15.0	stat_melee_attack	add
spell_ice_frost_blade	1.3	stat_melee_damage_ap	mult
spell_ice_frost_blade	15.0	stat_melee_attack	add
spell_ice_crisping_cold_upgraded	1.2	scalar_charge_speed	mult
spell_ice_crisping_cold_upgraded	1.2	scalar_speed	mult
spell_ice_crisping_cold_upgraded	20.0	stat_reloading	add
spell_ice_crisping_cold	1.2	scalar_charge_speed	mult
spell_ice_crisping_cold	1.2	scalar_speed	mult
spell_ice_crisping_cold	20.0	stat_reloading	add
spell_ice_shattering_frost_upgraded1	0.7	scalar_charge_speed	mult
spell_ice_shattering_frost_upgraded1	0.7	scalar_speed	mult
spell_ice_shattering_frost_upgraded1	0.7	stat_armour	mult
spell_ice_shattering_frost_upgraded1	-30.0	stat_resistance_physical	add
spell_ice_shattering_frost1	0.7	scalar_charge_speed	mult
spell_ice_shattering_frost1	0.7	scalar_speed	mult
spell_ice_shattering_frost1	0.7	stat_armour	mult
spell_ice_shattering_frost1	-30.0	stat_resistance_physical	add
lore_passive_ice_cold	0.84	scalar_speed	mult
lore_passive_ice_cold	0.84	scalar_charge_speed	mult
lore_passive_ice_cold	-2.0	stat_melee_defence	add
lore_passive_ice_cold	-8.0	stat_melee_attack	add
spell_ice_blinding_blizzard_upgraded1	0.5	stat_accuracy	mult
spell_ice_blinding_blizzard_upgraded1	-20.0	stat_reloading	add
spell_ice_blinding_blizzard_upgraded1	0.5	stat_visibility_sight	mult
spell_ice_blinding_blizzard1	0.5	stat_accuracy	mult
spell_ice_blinding_blizzard1	-20.0	stat_reloading	add
spell_ice_blinding_blizzard1	0.5	stat_visibility_sight	mult
spell_ice_ice_blizzard	0.9	scalar_speed	mult
spell_ice_ice_blizzard_upgraded	0.7	scalar_speed	mult
lore_passive_ice_winter	-25.0	stat_resistance_magic	add
grudge_ballistics_calibration1	1.1	stat_accuracy	mult
grudge_ballistics_calibration2	1.2	stat_accuracy	mult
grudge_ballistics_calibration3	1.3	stat_accuracy	mult
grudge_explosion1	1.1	scalar_missile_explosion_damage_ap	mult
grudge_apexplosion1	1.1	scalar_missile_explosion_damage_base	mult
grudge_explosion2	1.2	scalar_missile_explosion_damage_ap	mult
grudge_apexplosion2	1.2	scalar_missile_explosion_damage_base	mult
grudge_explosion3	1.3	scalar_missile_explosion_damage_ap	mult
grudge_apexplosion3	1.3	scalar_missile_explosion_damage_base	mult
grudge_item_abilities_horn_of_urgok	-30.0	stat_melee_attack	add
grudge_item_abilities_horn_of_urgok	0.75	stat_melee_damage_base	mult
grudge_item_abilities_horn_of_urgok	-30.0	stat_melee_defence	add
grudge_item_abilities_horn_of_urgok	-15.0	stat_morale	add
grudge_item_abilities_banner_of_arcane_warding	1.7	scalar_miscast_chance	mult
grudge_item_abilities_spelleater_shield	1.9	scalar_miscast_chance	mult
grudge_ability_swiftness_of_itzl	1.36	scalar_speed	mult
grudge_ability_skv_verminous_valour	1.24	scalar_speed	mult
grudge_ability_skv_verminous_valour	8.0	stat_morale	add
