effect_bonus_value_ids_unit_sets_tables	0
bonus_value_id	effect	unit_set
charge_bonus	rot_charge_speed_increase_trolls	dlc08_nor_trolls
melee_attack_mod	rot_melee_attack_increase_warhounds	dlc08_nor_all_norscan_wolf_creatures_and_warhounds
melee_damage_ap_mod_mult	rot_melee_damage_increase_trolls	dlc08_nor_trolls
melee_damage_mod_mult	rot_melee_damage_increase_trolls	dlc08_nor_trolls
cost_mod	rot_recruitment_cost_reduction_trolls	dlc08_nor_trolls
melee_defence_mod	rot_unit_stat_melee_defence_warhounds	dlc08_nor_all_norscan_wolf_creatures_and_warhounds
charge_bonus	rot_charge_speed_increase_trolls	chs_trolls
melee_damage_ap_mod_mult	rot_melee_damage_increase_trolls	chs_trolls
melee_damage_mod_mult	rot_melee_damage_increase_trolls	chs_trolls
cost_mod	rot_recruitment_cost_reduction_trolls	chs_trolls
armour_mod	rot_armour_increase_marauder_chariots_cavalry	dlc08_nor_marauders_cav_chariots
charge_bonus	rot_charge_speed_increase_marauder_chariots_cavalry	dlc08_nor_marauders_cav_chariots
melee_defence_mod	rot_melee_defence_increase_marauder_chariots_cavalry	dlc08_nor_marauders_cav_chariots
mod_land_movement_battle	rot_movement_speed_increase_marauder_chariots_cavalry	dlc08_nor_marauders_cav_chariots
armour_mod	rot_armour_increase_marauder_chariots_cavalry	chs_chariot_plain
charge_bonus	rot_charge_speed_increase_marauder_chariots_cavalry	chs_chariot_plain
melee_defence_mod	rot_melee_defence_increase_marauder_chariots_cavalry	chs_chariot_plain
mod_land_movement_battle	rot_movement_speed_increase_marauder_chariots_cavalry	chs_chariot_plain
armour_mod	rot_armour_increase_marauder_chariots_cavalry	chs_gorebeast_chariot
charge_bonus	rot_charge_speed_increase_marauder_chariots_cavalry	chs_gorebeast_chariot
melee_defence_mod	rot_melee_defence_increase_marauder_chariots_cavalry	chs_gorebeast_chariot
mod_land_movement_battle	rot_movement_speed_increase_marauder_chariots_cavalry	chs_gorebeast_chariot
