frontend_factions_tables	3
faction	video	sort_order
wh2_main_arb_aswad_scythans	front_end_faction_select/tmb_faction	163
wh2_main_arb_caliphate_of_araby	front_end_faction_select/tmb_faction	163
wh2_main_arb_flaming_scimitar	Warhammer/faction_select_cst	163
wh2_main_emp_grudgebringers	Warhammer/faction_select_emp	163
wh2_main_emp_the_moot	Warhammer/faction_select_emp	163
wh2_main_amz_amazons	front_end_faction_select/lzd_faction	163
wh2_main_nor_albion	Warhammer/faction_select_nor_norsca	163
wh2_main_nor_trollz	Warhammer/faction_select_nor_wintertooth	163
wh2_main_hef_citadel_of_dusk	front_end_faction_select/hef_faction	0
wh2_main_vmp_blood_dragons	Warhammer/faction_select_vmp	160
wh2_main_nor_servants_of_fimulneid	Warhammer/faction_select_nor_norsca	168
wh2_main_nor_harbingers_of_doom	Warhammer/faction_select_nor_norsca	193
wh2_main_nor_rotbloods	Warhammer/faction_select_chs	209
wh2_dlc09_tmb_the_sentinels	front_end_faction_select/tmb_faction	0
