effect_bonus_value_ids_unit_sets_tables	0
bonus_value_id	effect	unit_set
unit_xp_mod	hlf_glibfoot_hlf_thieves	hlf_thieves
upkeep_mod	hlf_glibfoot_reduce_inf_upkeep	hlf_melee_units
morale	hlf_glibfoot_morale_inf	hlf_melee_units
unit_xp_mod	hlf_glibfoot_inf_xp_inc	hlf_melee_units
unit_xp_mod	hlf_glibfoot_ranged_xp_inc	hlf_ranged_units
unit_xp_mod	hlf_glibfoot_cav_xp_inc	hlf_cav_units
unit_xp_mod	hlf_glibfoot_warden_xp_inc	hlf_warden_units
unit_xp_mod	hlf_glibfoot_rangers_xp_inc	hlf_ranger_units
melee_damage_mod_mult	hlf_glibfoot_warden_melee_inc	hlf_warden_units
missile_damage_mod_mult	hlf_glibfoot_rangers_ranged_inc	hlf_ranger_units
upkeep_mod	hlf_reduce_all_units_upkeep	hlf_all_units
