key	generate	localised_description	localised_title	mission_type	ui_icon	ui_image	prioritised	event_category	set_piece_battle	location_x	location_y	quest_mission	trigger_radius	quest_character	quest_mission_final	sticky_by_default
#missions_tables;6;db/missions_tables/ovn																
ovn_hlf_comradeship	true	The pets of the Vampire Counts are fearsome Unliving creatures whose only desire is to serve. Read the books and summon them to our cause!	Unholy Beasts	RECRUIT_UNIT	rom_event_mission.png	emp/generic	false	Military		0	0	false	0.0		false	false
ovn_hlf_mission	true	The pets of the Vampire Counts are fearsome Unliving creatures whose only desire is to serve. Read the books and summon them to our cause!	Unholy Beasts	RECRUIT_UNIT	rom_event_mission.png	emp/generic	false	Military		0	0	false	0.0		false	false
ovn_halfling_ingredient_quest_1	true	The pets of the Vampire Counts are fearsome Unliving creatures whose only desire is to serve. Read the books and summon them to our cause!	Unholy Beasts	RECRUIT_UNIT	rom_event_mission.png	emp/generic	false	Military		0	0	false	0.0		false	false
ovn_halfling_ingredient_quest_2	true	The pets of the Vampire Counts are fearsome Unliving creatures whose only desire is to serve. Read the books and summon them to our cause!	Unholy Beasts	RECRUIT_UNIT	rom_event_mission.png	emp/generic	false	Military		0	0	false	0.0		false	false
ovn_halfling_ingredient_quest_3	true	The pets of the Vampire Counts are fearsome Unliving creatures whose only desire is to serve. Read the books and summon them to our cause!	Unholy Beasts	RECRUIT_UNIT	rom_event_mission.png	emp/generic	false	Military		0	0	false	0.0		false	false
ovn_halfling_ingredient_quest_4	true	The pets of the Vampire Counts are fearsome Unliving creatures whose only desire is to serve. Read the books and summon them to our cause!	Unholy Beasts	RECRUIT_UNIT	rom_event_mission.png	emp/generic	false	Military		0	0	false	0.0		false	false
ovn_halfling_ingredient_quest_5	true	The pets of the Vampire Counts are fearsome Unliving creatures whose only desire is to serve. Read the books and summon them to our cause!	Unholy Beasts	RECRUIT_UNIT	rom_event_mission.png	emp/generic	false	Military		0	0	false	0.0		false	false
ovn_halfling_ingredient_quest_6	true	The pets of the Vampire Counts are fearsome Unliving creatures whose only desire is to serve. Read the books and summon them to our cause!	Unholy Beasts	RECRUIT_UNIT	rom_event_mission.png	emp/generic	false	Military		0	0	false	0.0		false	false
ovn_halfling_ingredient_quest_7	true	The pets of the Vampire Counts are fearsome Unliving creatures whose only desire is to serve. Read the books and summon them to our cause!	Unholy Beasts	RECRUIT_UNIT	rom_event_mission.png	emp/generic	false	Military		0	0	false	0.0		false	false
ovn_grudge_vortex_move_to_swem	false	moving any lord or agent to the province		MOVE_TO_PROVINCE	rom_event_mission.png	def/generic	true	Quest		0	0	true	0.0		false	false
ovn_grudge_vortex_take_morgheim	false	conquer morgheim		CAPTURE_REGIONS	rom_event_mission.png	def/generic	true	Quest		0	0	true	0.0		false	false
ovn_grudge_vortex_take_zandri	false	conquer zandri		CAPTURE_REGIONS	rom_event_mission.png	def/generic	true	Quest		0	0	true	0.0		false	false
ovn_grudge_vortex_take_kasabar	false	conquer kasabar		CAPTURE_REGIONS	rom_event_mission.png	def/generic	true	Quest		0	0	true	0.0		false	false
ovn_grudge_vortex_kill_dk	false	ovn_grudge_vortex_kill_dk		ELIMINATE_CHARACTER_IN_BATTLE	rom_event_mission.png	def/generic	true	Quest		0	0	true	0.0		false	false
ovn_grudge_vortex_kill_arkhan	false	ovn_grudge_vortex_kill_arkhan		ELIMINATE_CHARACTER_IN_BATTLE	rom_event_mission.png	def/generic	true	Quest		0	0	true	0.0		false	false
ovn_troll_me_take_karak_azgal	false	ovn_troll_me_take_karak_azgal		CAPTURE_REGIONS	rom_event_mission.png	def/generic	true	Quest		0	0	true	0.0		false	false
ovn_blood_dragons_me_take_altdorf	false	ovn_blood_dragons_me_take_altdorf		CAPTURE_REGIONS	rom_event_mission.png	def/generic	true	Quest		0	0	true	0.0		false	false
ovn_blood_dragons_me_take_couronne	false	ovn_blood_dragons_me_take_couronne		CAPTURE_REGIONS	rom_event_mission.png	def/generic	true	Quest		0	0	true	0.0		false	false
ovn_blood_dragons_me_take_templehof	false	ovn_blood_dragons_me_take_templehof		CAPTURE_REGIONS	rom_event_mission.png	def/generic	true	Quest		0	0	true	0.0		false	false
ovn_blood_dragons_me_take_nuln	false	ovn_blood_dragons_me_take_nuln		CAPTURE_REGIONS	rom_event_mission.png	def/generic	true	Quest		0	0	true	0.0		false	false
ovn_grudge_me_move_to_swem	false	moving any lord or agent to the province		MOVE_TO_PROVINCE	rom_event_mission.png	def/generic	true	Quest		0	0	true	0.0		false	false
