effect	group	value	scope
#frontend_faction_effect_junctions_tables;1;db/frontend_faction_effect_junctions_tables/ovn_stuff			
wh_dlc03_effect_stance_ambush_chance_dummy	ovn_sof	1	faction_to_force_own
wh2_dlc09_faction_political_diplomacy_mod	ovn_sof	-40	faction_to_faction_own_unseen
wh2_dlc10_effect_force_all_campaign_captives	ovn_sof	70	faction_to_province_own_unseen
wh2_main_effect_slave_income_modifier	ovn_sof	50	faction_to_province_own_unseen
wh2_dlc10_effect_force_all_campaign_captives	ovn_rotbloods	50	faction_to_province_own_unseen
wh2_main_effect_slave_decline_modifier	ovn_rotbloods	50	faction_to_province_own_unseen
wh2_main_effect_slave_income_modifier	ovn_rotbloods	30	faction_to_province_own_unseen
ovn_faction_political_diplomacy_mod_all_except_fester	ovn_rotbloods	-50	faction_to_faction_own_unseen
ovn_warp_champion	ovn_rotbloods	1	faction_to_faction_own_unseen
wh_main_effect_force_all_campaign_raid_income	ovn_rotbloods	40	faction_to_force_own_unseen
ovn_no_add_army_upkeep_dummy	ovn_rotbloods	1	faction_to_faction_own_unseen
wh_main_faction_xp_increase_generals	ovn_blood_dragons	3	province_to_province_own_factionwide
wh_main_effect_character_stat_mod_melee_attack	ovn_blood_dragons	15	faction_to_character_own
wh_main_effect_tech_upkeep_cost_reduction_skeletons	ovn_blood_dragons	50	faction_to_force_own
wh_main_effect_tech_upkeep_cost_reduction_zombies	ovn_blood_dragons	100	faction_to_force_own
wh2_main_effect_tech_recruitment_cost_reduction_blood_knights	ovn_blood_dragons	-15	faction_to_force_own
wh2_main_effect_tech_upkeep_reduction_blood_knights	ovn_blood_dragons	-15	faction_to_force_own
ovn_blood_dragon_ward	ovn_blood_dragons_lord	10	general_to_force_own
wh_dlc08_effect_bonus_morale_fighting_against_human	ovn_blood_dragons_lord	6	general_to_force_own
wh_main_effect_military_force_winds_of_magic_depletion_mod_other	ovn_blood_dragons_lord	-10	general_to_force_own
wh2_dlc09_tmb_lord_trait_khatep_climate_dummy	ovn_blood_dragons	1	faction_to_faction_own_unseen
wh_dlc03_effect_stance_ambush_chance_dummy	ovn_hod	1	faction_to_force_own
wh2_dlc09_faction_political_diplomacy_mod	ovn_hod	-40	faction_to_faction_own_unseen
wh2_dlc10_effect_force_all_campaign_captives	ovn_hod	25	faction_to_province_own_unseen
wh2_main_effect_slave_income_modifier	ovn_hod	20	faction_to_province_own_unseen
wh_main_effect_force_unit_stat_morale	ovn_hod	5	faction_to_force_own
wh_main_effect_force_unit_stat_melee_attack	ovn_hod	5	faction_to_force_own
wh_main_effect_force_army_battle_movement_speed	ovn_hod_lord	10	general_to_force_own
wh_main_effect_military_force_winds_of_magic_starting_mod	ovn_hod_lord	10	character_to_force_own_unseen
