campaign_group_member_criteria_subcultures_tables	0
member	subculture
wh_event_feed_cult_empire_battle_attack_outcome_defeat	wh_main_sc_emp_araby
wh_event_feed_cult_empire_battle_attack_outcome_draw	wh_main_sc_emp_araby
wh_event_feed_cult_empire_battle_attack_outcome_victory	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_treasure_hunt	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_colonise	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_do_nothing	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_loot	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_raze_without_occupy	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_resettle	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_sack	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_occupy	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_ash_river_numas	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_ash_river_quatar	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_ash_river_springs_of_eternal_life	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_atalan_mountains_martek	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_coast_of_araby_al_haikk	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_coast_of_araby_copher	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_coast_of_araby_fyrus	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_great_desert_of_araby_bel_aliad	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_great_desert_of_araby_black_tower_of_arkhan	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_great_desert_of_araby_el-kalabad	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_great_desert_of_araby_pools_of_despair	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_great_mortis_delta_black_pyramid_of_nagash	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_land_of_assassins_lashiek	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_land_of_assassins_palace_of_the_wizard_caliph	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_land_of_assassins_sorcerers_islands	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_land_of_the_dead_khemri	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_land_of_the_dead_pyramid_of_nagash	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_land_of_the_dead_zandri	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_land_of_the_dervishes_plain_of_tuskers	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_land_of_the_dervishes_sudenburg	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_shifting_sands_antoch	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_shifting_sands_bhagar	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_shifting_sands_ka-sabar	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_atalan_mountains_eye_of_the_panther	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_atalan_mountains_vulture_mountain	wh_main_sc_emp_araby
ovn_araby_alt_occupation_decision_region_handover_wh2_main_western_jungles_tlaqua	wh_main_sc_emp_araby
wh_feature_nor_arb	wh_main_sc_emp_araby
