land_units_tables	43
accuracy	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	historical_description_text	key	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	animal	num_animals	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strengths_&_weaknesses_text	supports_first_person	training_level	officers	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	reload	loose_spacing	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	capture_power	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	mounted_draughts	sync_locomotion
10	wh2_main_chainmail_80	2100	inf_melee	14	inf_mel	12	60		albion_shieldmaiden_ror	hu1b_elf_sword_and_shield	wh2_main_hef_infantry_heavy_blood_dismembers	30	65	75	80			0	0	albion_shieldmaidens_spear		4	wh_missile_block_55_wood	albion_shieldmaiden_ror	wh_main_infantry	placeholder	false	trained	A_blank_record			false	40.0	1500.0	0.0	immPsy_hide_chargereflect_ovn	60	80	0	false	vo_sel_spearmen	vo_sel_melee	vo_sel_generic	1.0	10.0	small	0	0	0	0	0	0	0	0	melee	false	false	false
10	wh2_main_body_30	2100	inf_melee	40	inf_mel	50	80	wh_main_unit_long_text_grn_giant	albion_bologs_giant_ror	hu4_giant_club	bologs_entity_giant	78	44	100	12612			0	0	wh_main_club_giant		1	none	albion_bologs_giant_ror	wh_main_monster	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_fear_terror	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	10.0	large	0	0	0	0	0	25	0	0	melee_gatecrusher	false	false	false
10	wh2_main_body_40	2100	inf_melee	35	inf_mel	20	33	wh_main_unit_long_text_chs_chaos_spawn	elo_fly_infested_rotwood	hc2_chaos_spawn	wh_main_monster_chaos_spawn_blood	43	56	70	730			0	0	wooden_arms_rotten		2	none	elo_fly_infested_rotwood	wh_main_monstrous_infantry_chaotic	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	construct_fear_hideForest_undead	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	10.0	large	0	0	0	0	0	0	20	0	melee_gatecrusher	false	false	false
10	wh_main_body_0	2100	inf_melee	32	inf_mel	20	33	wh_dlc08_unit_long_text_nor_marauder_berserkers	albion_woadraider_sworn_ror	hu1c_norsca_dual_axe	woad_raider_entity	34	24	90	95			0	0	woad_raiders_dual_axes_ror		6	none	albion_woadraider_sworn_ror	wh_main_grn_orc_infantry_savage_rabble	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_hideForest_unbreakable_fear	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	10.0	small	0	0	0	0	0	25	0	0	melee	false	false	false
10	wh2_main_chainmail_80	2100	cavalry	40	cav_mel	20	33	wh_main_unit_long_text_chs_chaos_knights	alb_cav_noble_first_ror	hu1c_chaos_hr1_warhorse_sword_and_shield	wh_main_infantry_standard_large_blood	38	38	80	105	albion_warhorse_noble		0	60	albion_riders_sword		5	wh_missile_block_30_metal	alb_cav_noble_first_ror	wh_main_cavalry_ordered	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_hideForest	60	80	0	false	vo_sel_chaos_knights	vo_sel_cavalry	vo_sel_culture	1.0	10.0	large	0	0	0	0	0	0	0	0	melee_flanker	false	false	false
10	wh2_main_chainmail_50	2100	inf_melee	21	inf_mel	20	33	wh_main_unit_long_text_chs_chaos_marauders	albion_warriors_lugh	hu1c_archaon_sword_and_shield	wh_main_chs_infantry_fast_blood_dismembers	41	29	75	68			0	0	albion_warriors_lugh_sword		6	wh_missile_block_35_wood	albion_warriors_lugh	wh_main_grn_orc_infantry_savage_rabble	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_hideForest	60	80	0	false	vo_sel_bretonnian_men_at_arms_shield	vo_sel_melee	vo_sel_culture	1.0	10.0	small	0	0	80	0	0	0	0	0	melee	false	false	false
10	wh2_main_leather_30	2100	inf_ranged	6	inf_mis	12	50	wh2_main_unit_long_text_hef_inf_archers_0	albion_huntresses_warden_ror	hu1b_hef_spear_and_bow	huntress_warden_entity	26	45	70	70			0	0	albion_warden_spear	albion_warden_bow	4	none	albion_huntresses_warden_ror	wh_main_infantry	placeholder	false	trained	A_blank_record			false	40.0	1500.0	0.0	hide_chargevsL_stalk_guerilla	60	80	10	false	vo_sel_hef_Sisters_of_Averlorn	vo_sel_generic	vo_sel_generic_short	1.0	10.0	small	0	20	0	0	0	0	0	0	ranged_stalkers	true	false	false
10	wh2_main_plate_30	2100	inf_ranged	36	inf_mis	20	33	wh_dlc03_unit_long_text_bst_centigors_throwing_axes	albion_centaur_hunter_ror	ce1_centigor_spear_and_throwing_axes	wh_dlc03_bst_cav_centigor_blood	36	36	70	90			0	0	centaur_hunter_spear	centaur_hunter_axes	6	none	albion_centaur_hunter_ror	wh_dlc03_bst_centigors_rabble	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	fear_guerrilla_mountedFireMove_hideForest	60	80	10	false	vo_sel_beastmen_centigors	vo_sel_default	vo_sel_culture	1.0	10.0	large	0	14	0	0	0	25	0	0	ranged_flanker	true	false	false
20	wh2_main_body_30	2100	inf_ranged	22	spcl	20	33	wh_main_unit_long_text_chs_chaos_knights	albion_cachtorr_stonethrower	hu11_cygor	albion_giant_entity	45	27	85	9000			0	0	giant_melee_boulder	giant_boulder_cachtorr	1	none	albion_cachtorr_stonethrower	wh_main_monster	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_fear_terror	60	80	10	false	vo_sel_default	vo_sel_missile	vo_sel_culture	1.0	10.0	large	0	25	0	0	0	25	0	0	ranged_no_skirmish_gatecrusher	false	false	false
10	wh2_main_chainmail_80	2100	inf_melee	30	inf_mel	20	33	wh_dlc08_unit_long_text_nor_marauder_champions	albion_highlander_ror	hu1_empire_2handed_sword	wh_dlc08_infantry_champion_large_blood_dismembers	45	29	80	80			0	0	highlander_2h_sword		7	none	albion_highlander_ror	wh_main_infantry_chaos_warriors	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_hideForest	60	80	0	false	vo_sel_bretonnian_foot_squires	vo_sel_melee	vo_sel_culture	1.0	10.0	small	0	0	0	0	0	0	0	0	melee	false	false	false
