character_skill_nodes_tables	5
campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	key	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
	wh2_dlc09_skill_tmb_lord_army_base	wh2_main_skill_node_set_tmb_Dread_King		4.0	wh2_dlc09_skill_tmb_tomb_king_dread_army_0	0.0		0	0	true
	wh2_dlc09_skill_tmb_army_buff_basic_archers	wh2_main_skill_node_set_tmb_Dread_King		4.0	wh2_dlc09_skill_tmb_tomb_king_dread_army_1	1.0		0	0	true
	wh2_dlc09_skill_tmb_army_buff_vet_infantry	wh2_main_skill_node_set_tmb_Dread_King		4.0	wh2_dlc09_skill_tmb_tomb_king_dread_army_10	10.0		0	0	true
	wh2_dlc09_skill_tmb_army_buff_vet_structure	wh2_main_skill_node_set_tmb_Dread_King		4.0	wh2_dlc09_skill_tmb_tomb_king_dread_army_11	11.0		0	0	true
	wh2_dlc09_skill_tmb_lord_rally_upgraded	wh2_main_skill_node_set_tmb_Dread_King		4.0	wh2_dlc09_skill_tmb_tomb_king_dread_army_12	12.0		0	1	true
	wh2_dlc09_skill_tmb_army_buff_basic_infantry	wh2_main_skill_node_set_tmb_Dread_King		4.0	wh2_dlc09_skill_tmb_tomb_king_dread_army_2	2.0		0	0	true
	wh2_dlc09_skill_tmb_army_buff_cav	wh2_main_skill_node_set_tmb_Dread_King		4.0	wh2_dlc09_skill_tmb_tomb_king_dread_army_3	3.0		0	0	true
	wh2_dlc09_skill_tmb_army_buff_chariot	wh2_main_skill_node_set_tmb_Dread_King		4.0	wh2_dlc09_skill_tmb_tomb_king_dread_army_4	4.0		0	0	true
	wh2_dlc09_skill_tmb_army_buff_structure_infantry	wh2_main_skill_node_set_tmb_Dread_King		4.0	wh2_dlc09_skill_tmb_tomb_king_dread_army_5	5.0		0	0	true
	wh2_dlc09_skill_tmb_army_buff_elite_structure	wh2_main_skill_node_set_tmb_Dread_King		4.0	wh2_dlc09_skill_tmb_tomb_king_dread_army_6	6.0		0	0	true
	wh2_dlc09_skill_tmb_lord_rally	wh2_main_skill_node_set_tmb_Dread_King		4.0	wh2_dlc09_skill_tmb_tomb_king_dread_army_7	7.0		0	5	true
	wh2_dlc09_skill_tmb_army_buff_vet_archer	wh2_main_skill_node_set_tmb_Dread_King		4.0	wh2_dlc09_skill_tmb_tomb_king_dread_army_8	8.0		0	0	true
	wh2_dlc09_skill_tmb_army_buff_vet_cav	wh2_main_skill_node_set_tmb_Dread_King		4.0	wh2_dlc09_skill_tmb_tomb_king_dread_army_9	9.0		0	0	true
	wh_main_skill_all_lord_campaign_route_marcher	wh2_main_skill_node_set_tmb_Dread_King		5.0	wh2_dlc09_skill_tmb_tomb_king_dread_campaign_0	0.0		0	0	true
	wh_main_skill_emp_lord_campaign_iron_disciplinarian	wh2_main_skill_node_set_tmb_Dread_King		5.0	wh2_dlc09_skill_tmb_tomb_king_dread_campaign_1	1.0		0	0	true
