agent	faction	subtype
#faction_agent_permitted_subtypes_tables;0;db/faction_agent_permitted_subtypes_tables/ovn		
spy	wh2_main_nor_trollz	elo_carrion_boss
general	wh2_main_nor_rotbloods	chs_sorcerer_lord_death
general	wh2_main_nor_rotbloods	chs_sorcerer_lord_fire
general	wh2_main_nor_rotbloods	chs_sorcerer_lord_metal
general	wh2_main_nor_rotbloods	chs_lord
colonel	wh2_main_nor_rotbloods	chs_lord
champion	wh2_main_nor_rotbloods	chs_exalted_hero
dignitary	wh2_main_nor_rotbloods	default
engineer	wh2_main_nor_rotbloods	default
minister	wh2_main_nor_rotbloods	default
runesmith	wh2_main_nor_rotbloods	default
spy	wh2_main_nor_rotbloods	default
wizard	wh2_main_nor_rotbloods	chs_chaos_sorcerer_death
wizard	wh2_main_nor_rotbloods	chs_chaos_sorcerer_fire
wizard	wh2_main_nor_rotbloods	chs_chaos_sorcerer_metal
wizard	wh2_main_nor_rotbloods	dlc07_chs_chaos_sorcerer_shadow
wizard	wh2_main_nor_rotbloods	rbt_blightstormer
champion	wh2_main_nor_servants_of_fimulneid	default
colonel	wh2_main_nor_servants_of_fimulneid	aky_chief_fimir_great_weapons
dignitary	wh2_main_nor_servants_of_fimulneid	wh_dlc08_nor_fimir_balefiend_fire
dignitary	wh2_main_nor_servants_of_fimulneid	wh_dlc08_nor_fimir_balefiend_shadow
engineer	wh2_main_nor_servants_of_fimulneid	default
general	wh2_main_nor_servants_of_fimulneid	aky_chief_fimir_great_weapons
minister	wh2_main_nor_servants_of_fimulneid	default
spy	wh2_main_nor_servants_of_fimulneid	default
runesmith	wh2_main_nor_servants_of_fimulneid	wh2_dlc15_grn_river_troll_hag
wizard	wh2_main_nor_servants_of_fimulneid	elo_boglar_shaman
champion	wh2_main_nor_harbingers_of_doom	chs_exalted_hero
colonel	wh2_main_nor_harbingers_of_doom	aky_chief_fimir_great_weapons
dignitary	wh2_main_nor_harbingers_of_doom	wh_dlc08_nor_fimir_balefiend_fire
dignitary	wh2_main_nor_harbingers_of_doom	wh_dlc08_nor_fimir_balefiend_shadow
engineer	wh2_main_nor_harbingers_of_doom	default
general	wh2_main_nor_harbingers_of_doom	aky_chief_fimir_great_weapons
minister	wh2_main_nor_harbingers_of_doom	default
spy	wh2_main_nor_harbingers_of_doom	default
runesmith	wh2_main_nor_harbingers_of_doom	wh2_dlc15_grn_river_troll_hag
wizard	wh2_main_nor_harbingers_of_doom	grn_night_goblin_shaman
general	wh2_main_nor_harbingers_of_doom	chs_lord
general	wh2_main_nor_harbingers_of_doom	chs_sorcerer_lord_death
general	wh2_main_nor_harbingers_of_doom	chs_sorcerer_lord_fire
general	wh2_main_nor_harbingers_of_doom	chs_sorcerer_lord_metal
general	wh2_main_nor_harbingers_of_doom	dlc07_chs_sorcerer_lord_shadow
general	wh_main_nor_norsca_qb1	nor_marauder_chieftain
champion	wh2_main_vmp_blood_dragons	vmp_wight_king
colonel	wh2_main_vmp_blood_dragons	vmp_lord
dignitary	wh2_main_vmp_blood_dragons	vmp_vampire
dignitary	wh2_main_vmp_blood_dragons	wh_dlc05_vmp_vampire_shadow
engineer	wh2_main_vmp_blood_dragons	default
general	wh2_main_vmp_blood_dragons	dlc04_vmp_strigoi_ghoul_king
general	wh2_main_vmp_blood_dragons	vmp_lord
general	wh2_main_vmp_blood_dragons	vmp_master_necromancer
general	wh2_main_vmp_blood_dragons	wh2_dlc11_vmp_bloodline_blood_dragon
general	wh2_main_vmp_blood_dragons	wh2_dlc11_vmp_bloodline_lahmian
general	wh2_main_vmp_blood_dragons	wh2_dlc11_vmp_bloodline_necrarch
general	wh2_main_vmp_blood_dragons	wh2_dlc11_vmp_bloodline_strigoi
general	wh2_main_vmp_blood_dragons	wh2_dlc11_vmp_bloodline_von_carstein
minister	wh2_main_vmp_blood_dragons	default
runesmith	wh2_main_vmp_blood_dragons	default
