land_units_to_unit_abilites_junctions_tables	0
ability	land_unit
wh_dlc08_lord_abilities_fight_or_die	aky_chief_fimir_great_weapons_0
wh_dlc08_lord_passive_rage	aky_chief_fimir_great_weapons_0
wh_main_character_abilities_foe_seeker	aky_chief_fimir_great_weapons_0
wh_dlc08_unit_passive_from_the_mist	aky_chief_fimir_great_weapons_0
ovn_mystic_mist	aky_chief_fimir_great_weapons_0
wh_dlc08_hero_passive_ruinous_flesh	aky_chief_wolf_werekin_0
wh_dlc08_lord_abilities_fight_or_die	aky_chief_wolf_werekin_0
wh_main_character_abilities_foe_seeker	aky_chief_wolf_werekin_0
wh_main_unit_passive_frenzy	aky_chief_wolf_werekin_0
wh_main_unit_passive_regeneration	aky_chief_wolf_werekin_0
wh2_main_unit_abilities_death_shriek	aky_chief_wolf_werekin_1_terrorgheist
wh_dlc08_hero_passive_ruinous_flesh	aky_chief_wolf_werekin_1_terrorgheist
wh_dlc08_lord_abilities_fight_or_die	aky_chief_wolf_werekin_1_terrorgheist
wh_main_character_abilities_foe_seeker	aky_chief_wolf_werekin_1_terrorgheist
wh_main_unit_passive_frenzy	aky_chief_wolf_werekin_1_terrorgheist
wh_main_unit_passive_regeneration	aky_chief_wolf_werekin_1_terrorgheist
