faction_agent_permitted_subtypes_tables	0
agent	faction	subtype
champion	wh2_main_arb_caliphate_of_araby	roy_arb_champion
colonel	wh2_main_arb_caliphate_of_araby	ovn_araby_ll
dignitary	wh2_main_arb_caliphate_of_araby	emp_warrior_priest
engineer	wh2_main_arb_caliphate_of_araby	default
general	wh2_main_arb_caliphate_of_araby	ovn_araby_ll
minister	wh2_main_arb_caliphate_of_araby	default
runesmith	wh2_main_arb_caliphate_of_araby	default
spy	wh2_main_arb_caliphate_of_araby	roy_arb_nomad
wizard	wh2_main_arb_caliphate_of_araby	arb_magician_life
wizard	wh2_main_arb_caliphate_of_araby	arb_magician_desert
wizard	wh2_main_arb_caliphate_of_araby	arb_magician_fire
wizard	wh2_main_arb_caliphate_of_araby	arb_magician_heavens
champion	wh2_main_arb_aswad_scythans	roy_arb_champion
colonel	wh2_main_arb_aswad_scythans	ovn_araby_ll
dignitary	wh2_main_arb_aswad_scythans	emp_warrior_priest
engineer	wh2_main_arb_aswad_scythans	default
general	wh2_main_arb_aswad_scythans	ovn_araby_ll
minister	wh2_main_arb_aswad_scythans	default
runesmith	wh2_main_arb_aswad_scythans	default
spy	wh2_main_arb_aswad_scythans	roy_arb_nomad
wizard	wh2_main_arb_aswad_scythans	arb_magician_life
wizard	wh2_main_arb_aswad_scythans	arb_magician_desert
wizard	wh2_main_arb_aswad_scythans	arb_magician_fire
wizard	wh2_main_arb_aswad_scythans	arb_magician_heavens
champion	wh2_main_arb_flaming_scimitar	roy_arb_champion
colonel	wh2_main_arb_flaming_scimitar	ovn_araby_ll
dignitary	wh2_main_arb_flaming_scimitar	emp_warrior_priest
engineer	wh2_main_arb_flaming_scimitar	default
general	wh2_main_arb_flaming_scimitar	ovn_araby_ll
minister	wh2_main_arb_flaming_scimitar	default
runesmith	wh2_main_arb_flaming_scimitar	default
spy	wh2_main_arb_flaming_scimitar	roy_arb_nomad
wizard	wh2_main_arb_flaming_scimitar	arb_magician_life
wizard	wh2_main_arb_flaming_scimitar	arb_magician_desert
wizard	wh2_main_arb_flaming_scimitar	arb_magician_fire
wizard	wh2_main_arb_flaming_scimitar	arb_magician_heavens
general	wh2_main_arb_caliphate_of_araby	Sultan_Jaffar
wizard	wh2_main_arb_aswad_scythans	vmp_necromancer
wizard	wh2_main_arb_caliphate_of_araby	vmp_necromancer
wizard	wh2_main_arb_flaming_scimitar	vmp_necromancer
general	wh2_main_arb_flaming_scimitar	arb_golden_magus
