unit_abilities_tables	16
key	requires_effect_enabling	icon_name	overpower_option	type	video	uniqueness	is_unit_upgrade	is_hidden_in_ui	source_type	superseded_abilities_set	is_hidden_in_ui_for_enemy
ovn_character_abilities_the_recovery_of_the_king	true	wh_main_item_abilities_crown_of_command		wh_type_transform		wh_main_anc_group_rare	true	false	character		false
ovn_character_passive_sobriety	false	wh2_dlc16_character_passive_cluster_of_radiants		wh_type_augment		wh_main_anc_group_rare	false	false	character		false
ovn_character_abilities_call_of_the_true_king	false	wh2_dlc10_item_abilities_horn_of_the_ancestors		wh_type_augment		wh_main_anc_group_common	false	false	character		false
ovn_character_abilities_hair_of_the_dog	false	wh2_dlc11_army_abilities_battle_supply		wh_type_regeneration		wh_main_anc_group_common	false	false	character		false
ovn_character_abilities_whirling_death	true	wh2_dlc16_unit_abilities_whirling_death		wh_type_augment		wh_main_anc_group_common	true	false	character		false
ovn_character_abilities_storm_of_blades	true	wh_dlc05_unit_abilities_storm_of_blades		wh_type_augment		wh_main_anc_group_common	true	false	character		false
ovn_character_abilities_the_shadows_coil	true	wh_dlc05_unit_abilities_the_shadows_coil		wh_type_augment		wh_main_anc_group_common	true	false	character		false
ovn_character_abilities_woven_mist	true	wh_dlc05_unit_abilities_woven_mist		wh_type_augment		wh_main_anc_group_common	true	false	character		false
ovn_character_passive_unlikely_friendship	true	wh2_dlc10_lord_passive_boon_of_isha		wh_type_hex		wh_main_anc_group_uncommon	true	false	character		false
ovn_character_passive_self_preservation	true	wh2_dlc13_lord_passive_fleet_footed		wh_type_augment		wh_main_anc_group_uncommon	true	false	character		false
