id	payload	ancillary
#ritual_payload_ancillaries_tables;0;db/ritual_payload_ancillaries_tables/ovn_crafting_araby_slaves		
311082724	ovn_arb_crafting_followers_1	wh2_main_anc_follower_skv_trainee_assassin
311082725	ovn_arb_crafting_followers_2	wh2_main_anc_follower_skv_slave_skv
311082726	ovn_arb_crafting_followers_3	wh2_main_anc_follower_skv_slave_human
311082727	ovn_arb_crafting_followers_4	wh2_main_anc_follower_skv_scribe
311082728	ovn_arb_crafting_followers_5	wh2_main_anc_follower_skv_scavenger_1
311082729	ovn_arb_crafting_followers_6	wh2_main_anc_follower_skv_sacrificial_victim_lizardman
311082730	ovn_arb_crafting_followers_7	wh2_main_anc_follower_skv_sacrificial_victim_dwarf
311082731	ovn_arb_crafting_followers_8	wh2_main_anc_follower_skv_saboteur
311082732	ovn_arb_crafting_followers_9	wh2_main_anc_follower_skv_pet_wolf_rat
311082733	ovn_arb_crafting_followers_10	wh2_main_anc_follower_skv_messenger
311082734	ovn_arb_crafting_followers_11	wh2_main_anc_follower_skv_mechanic
311082735	ovn_arb_crafting_followers_12	wh2_main_anc_follower_skv_hell_pit_attendant
311082736	ovn_arb_crafting_followers_13	wh2_main_anc_follower_skv_female
311082737	ovn_arb_crafting_followers_14	wh2_main_anc_follower_skv_clerk
311082738	ovn_arb_crafting_followers_15	wh2_main_anc_follower_skv_chemist
311082739	ovn_arb_crafting_followers_16	wh2_main_anc_follower_skv_bodyguard
311082740	ovn_arb_crafting_followers_17	wh2_main_anc_follower_skv_artefact_hunter
311082741	ovn_arb_crafting_followers_18	wh2_main_anc_follower_lzd_zoat
311082742	ovn_arb_crafting_followers_19	wh2_main_anc_follower_lzd_veteran_warrior
311082743	ovn_arb_crafting_followers_20	wh2_main_anc_follower_lzd_temple_cleaner
311082744	ovn_arb_crafting_followers_21	wh2_main_anc_follower_lzd_sacrificial_victim_skv
311082745	ovn_arb_crafting_followers_22	wh2_main_anc_follower_lzd_sacrificial_victim_human
311082746	ovn_arb_crafting_followers_23	wh2_main_anc_follower_lzd_librarian
311082747	ovn_arb_crafting_followers_24	wh2_main_anc_follower_lzd_gardener
311082748	ovn_arb_crafting_followers_25	wh2_main_anc_follower_lzd_fan_waver
311082749	ovn_arb_crafting_followers_26	wh2_main_anc_follower_lzd_defence_expert
311082750	ovn_arb_crafting_followers_27	wh2_main_anc_follower_lzd_clerk
311082751	ovn_arb_crafting_followers_28	wh2_main_anc_follower_lzd_attendant
311082752	ovn_arb_crafting_followers_29	wh2_main_anc_follower_lzd_astronomer
311082753	ovn_arb_crafting_followers_30	wh2_main_anc_follower_lzd_artefact_hunter
311082754	ovn_arb_crafting_followers_31	wh2_main_anc_follower_lzd_archivist
311082755	ovn_arb_crafting_followers_32	wh2_main_anc_follower_lzd_acolyte_priest
311082756	ovn_arb_crafting_followers_33	wh2_dlc12_lzd_anc_follower_swamp_trawler_skink
311082757	ovn_arb_crafting_followers_34	wh2_dlc12_lzd_anc_follower_prophets_spawn_brother
311082758	ovn_arb_crafting_followers_35	wh2_dlc12_lzd_anc_follower_priest_of_the_star_chambers
311082759	ovn_arb_crafting_followers_36	wh2_dlc12_lzd_anc_follower_piqipoqi_qupacoco
311082760	ovn_arb_crafting_followers_37	wh2_dlc12_lzd_anc_follower_obsinite_miner_skink
311082761	ovn_arb_crafting_followers_38	wh2_dlc12_lzd_anc_follower_lotl_botls_spawn_brother
311082762	ovn_arb_crafting_followers_39	wh2_dlc12_lzd_anc_follower_consul_of_calith
311082763	ovn_arb_crafting_followers_40	wh2_dlc12_lzd_anc_follower_chameleon_spotter
311082764	ovn_arb_crafting_followers_41	wh2_main_anc_follower_hef_wine_merchant
311082765	ovn_arb_crafting_followers_42	wh2_main_anc_follower_hef_trappist
311082766	ovn_arb_crafting_followers_43	wh2_main_anc_follower_hef_shrine_keeper
311082767	ovn_arb_crafting_followers_44	wh2_main_anc_follower_hef_scout
311082768	ovn_arb_crafting_followers_45	wh2_main_anc_follower_hef_raven_keeper
311082769	ovn_arb_crafting_followers_46	wh2_main_anc_follower_hef_priestess_isha
311082770	ovn_arb_crafting_followers_47	wh2_main_anc_follower_hef_priest_vaul
311082771	ovn_arb_crafting_followers_48	wh2_main_anc_follower_hef_poisoner
311082772	ovn_arb_crafting_followers_49	wh2_main_anc_follower_hef_minstrel
311082773	ovn_arb_crafting_followers_50	wh2_main_anc_follower_hef_librarian
311082774	ovn_arb_crafting_followers_51	wh2_main_anc_follower_hef_food_taster
311082775	ovn_arb_crafting_followers_52	wh2_main_anc_follower_hef_dragon_armourer
311082776	ovn_arb_crafting_followers_53	wh2_main_anc_follower_hef_counterspy
311082777	ovn_arb_crafting_followers_54	wh2_main_anc_follower_hef_counsellor
311082778	ovn_arb_crafting_followers_55	wh2_main_anc_follower_hef_beard_weaver
311082779	ovn_arb_crafting_followers_56	wh2_main_anc_follower_hef_bard
311082780	ovn_arb_crafting_followers_57	wh2_main_anc_follower_hef_assassin
311082781	ovn_arb_crafting_followers_58	wh2_main_anc_follower_hef_admiral
311082782	ovn_arb_crafting_followers_59	wh2_main_anc_follower_def_slave_trader
311082783	ovn_arb_crafting_followers_60	wh2_main_anc_follower_def_slave
311082784	ovn_arb_crafting_followers_61	wh2_main_anc_follower_def_propagandist
311082785	ovn_arb_crafting_followers_62	wh2_main_anc_follower_def_overseer
311082786	ovn_arb_crafting_followers_63	wh2_main_anc_follower_def_organ_merchant
311082787	ovn_arb_crafting_followers_64	wh2_main_anc_follower_def_musician_flute
311082788	ovn_arb_crafting_followers_65	wh2_main_anc_follower_def_musician_drum
311082789	ovn_arb_crafting_followers_66	wh2_main_anc_follower_def_musician_choirmaster
311082790	ovn_arb_crafting_followers_67	wh2_main_anc_follower_def_merchant
311082791	ovn_arb_crafting_followers_68	wh2_main_anc_follower_def_harem_keeper
311082792	ovn_arb_crafting_followers_69	wh2_main_anc_follower_def_gravedigger
311082793	ovn_arb_crafting_followers_70	wh2_main_anc_follower_def_fanatic
311082794	ovn_arb_crafting_followers_71	wh2_main_anc_follower_def_diplomat_slaanesh
311082795	ovn_arb_crafting_followers_72	wh2_main_anc_follower_def_diplomat
311082796	ovn_arb_crafting_followers_73	wh2_main_anc_follower_def_cultist
311082797	ovn_arb_crafting_followers_74	wh2_main_anc_follower_def_bodyguard
311082798	ovn_arb_crafting_followers_75	wh2_main_anc_follower_def_beastmaster
311082799	ovn_arb_crafting_followers_76	wh2_main_anc_follower_def_apprentice_assassin
311082800	ovn_arb_crafting_followers_77	wh2_dlc15_anc_follower_mandelour
311082801	ovn_arb_crafting_followers_78	wh2_dlc14_anc_follower_malus_urial
311082802	ovn_arb_crafting_followers_79	wh2_dlc14_anc_follower_malus_nagaira
311082803	ovn_arb_crafting_followers_80	wh2_dlc14_anc_follower_malus_lurhan
311082804	ovn_arb_crafting_followers_81	wh2_dlc14_anc_follower_malus_isilvar
311082805	ovn_arb_crafting_followers_82	wh2_dlc14_anc_follower_malus_hauclir
311082806	ovn_arb_crafting_followers_83	wh2_dlc14_anc_follower_malus_engvin
311082807	ovn_arb_crafting_followers_84	wh2_dlc14_anc_follower_malus_edlire
311082808	ovn_arb_crafting_followers_85	wh2_dlc14_anc_follower_malus_balneth_bale
311082809	ovn_arb_crafting_followers_86	wh2_dlc14_anc_follower_malus_arleth_vann
311082810	ovn_arb_crafting_followers_87	wh2_dlc09_anc_follower_tmb_ushabti_bodyguard
311082811	ovn_arb_crafting_followers_88	wh2_dlc09_anc_follower_tmb_tombfleet_taskmaster
311082812	ovn_arb_crafting_followers_89	wh2_dlc09_anc_follower_tmb_skeletal_labourer
311082813	ovn_arb_crafting_followers_90	wh2_dlc09_anc_follower_tmb_priest_of_ptra
311082814	ovn_arb_crafting_followers_91	wh2_dlc09_anc_follower_tmb_legionnaire_of_asaph
311082815	ovn_arb_crafting_followers_92	wh2_dlc09_anc_follower_tmb_high_born_of_khemri
311082816	ovn_arb_crafting_followers_93	wh2_dlc09_anc_follower_tmb_cultist_of_usirian
311082817	ovn_arb_crafting_followers_94	wh2_dlc09_anc_follower_tmb_charnel_valley_necrotect
311082818	ovn_arb_crafting_followers_95	wh2_dlc09_anc_follower_tmb_acolyte_of_sokth
311082819	ovn_arb_crafting_followers_96	wh_main_anc_follower_undead_warp_stone_hunter
311082820	ovn_arb_crafting_followers_97	wh_main_anc_follower_undead_warlock
311082821	ovn_arb_crafting_followers_98	wh_main_anc_follower_undead_possessed_mirror
311082822	ovn_arb_crafting_followers_99	wh_main_anc_follower_undead_poltergeist
311082823	ovn_arb_crafting_followers_100	wh_main_anc_follower_undead_mortal_informer
311082824	ovn_arb_crafting_followers_101	wh_main_anc_follower_undead_manservant
311082825	ovn_arb_crafting_followers_102	wh_main_anc_follower_undead_corpse_thief
311082826	ovn_arb_crafting_followers_103	wh_main_anc_follower_undead_carrion
311082827	ovn_arb_crafting_followers_104	wh_main_anc_follower_undead_black_cat
311082829	ovn_arb_crafting_followers_106	wh_main_anc_follower_halfling_fieldwarden
311082830	ovn_arb_crafting_followers_107	wh_main_anc_follower_empire_woodsman
311082831	ovn_arb_crafting_followers_108	wh_main_anc_follower_empire_watchman
311082832	ovn_arb_crafting_followers_109	wh_main_anc_follower_empire_tradesman
311082833	ovn_arb_crafting_followers_110	wh_main_anc_follower_empire_thief
311082834	ovn_arb_crafting_followers_111	wh_main_anc_follower_empire_seaman
311082835	ovn_arb_crafting_followers_112	wh_main_anc_follower_empire_scribe
311082836	ovn_arb_crafting_followers_113	wh_main_anc_follower_empire_road_warden
311082837	ovn_arb_crafting_followers_114	wh_main_anc_follower_empire_rat_catcher
311082838	ovn_arb_crafting_followers_115	wh_main_anc_follower_empire_peasant
311082839	ovn_arb_crafting_followers_116	wh_main_anc_follower_empire_noble
311082840	ovn_arb_crafting_followers_117	wh_main_anc_follower_empire_messenger
311082841	ovn_arb_crafting_followers_118	wh_main_anc_follower_empire_marine
311082842	ovn_arb_crafting_followers_119	wh_main_anc_follower_empire_light_college_acolyte
311082843	ovn_arb_crafting_followers_120	wh_main_anc_follower_empire_jailer
311082844	ovn_arb_crafting_followers_121	wh_main_anc_follower_empire_hunter
311082845	ovn_arb_crafting_followers_122	wh_main_anc_follower_empire_ferryman
311082846	ovn_arb_crafting_followers_123	wh_main_anc_follower_empire_entertainer
311082847	ovn_arb_crafting_followers_124	wh_main_anc_follower_empire_coachman
311082848	ovn_arb_crafting_followers_125	wh_main_anc_follower_empire_charcoal_burner
311082849	ovn_arb_crafting_followers_126	wh_main_anc_follower_empire_camp_follower
