id	art_set_id	level	age	portrait	season	uniform	card	info	sea_uniform	navy_uniform	land_animation	sea_animation	navy_animation	religion	land_animation_vfx_filter	sea_animation_vfx_filter	navy_animation_vfx_filter
#campaign_character_arts_tables;7;db/campaign_character_arts_tables/ovn_lost_factions_gold																	
119193	elo_chief_ugma	0	0		none	elo_chief_ugma			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_lord_hu4f_dlc15_hag_staff_net	cam_transport_ship_05	cam_transport_ship_05		0	0	0
120211	albion_morrigan	0	0		none	albion_morrigan			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_lord_hu1b_elf_staff_and_sword	cam_transport_ship_05	cam_transport_ship_05		0	0	0
120204	albion_warleader	0	0		none	albion_warleader			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_hu1c_chaos_axe_and_shield	cam_transport_ship_05	cam_transport_ship_05		0	0	0
120205	albion_truthsayer_beast	0	0		none	albion_truthsayer_beast			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_hu1_empire_staff_and_sword	cam_transport_ship_05	cam_transport_ship_05		0	0	0
120206	albion_truthsayer_life	0	0		none	albion_truthsayer_life			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_hu1_empire_staff_and_sword	cam_transport_ship_05	cam_transport_ship_05		0	0	0
120207	albion_truthsayer_light	0	0		none	albion_truthsayer_light			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_hu1_empire_staff_and_sword	cam_transport_ship_05	cam_transport_ship_05		0	0	0
120208	albion_truthsayer_truth	0	0		none	albion_truthsayer_truth			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_hu1_empire_staff_and_sword	cam_transport_ship_05	cam_transport_ship_05		0	0	0
120209	albion_wyrd_druid	0	0		none	albion_wyrd_druid			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_light_ship_04	cam_heavy_ship_04		0	0	0
120210	albion_chief	0	0		none	albion_chief			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_light_ship_04	cam_heavy_ship_04		0	0	0
