choice_key	dilemma_key	associated_audio_trigger
#cdir_events_dilemma_choice_details_tables;2;db/cdir_events_dilemma_choice_details_tables/ovn_dilemmas		
FIRST	ovn_dilemma_grudge_occupy	
SECOND	ovn_dilemma_grudge_occupy	
THIRD	ovn_dilemma_grudge_occupy	
FOURTH	ovn_dilemma_grudge_occupy	
FIRST	ovn_dilemma_sabaar_occupy	
SECOND	ovn_dilemma_sabaar_occupy	
FIRST	ovn_dilemma_zandri_occupy	
SECOND	ovn_dilemma_zandri_occupy	
THIRD	ovn_dilemma_zandri_occupy	
FOURTH	ovn_dilemma_zandri_occupy	
FIRST	ovn_chaos_gipfel	
SECOND	ovn_chaos_gipfel	
FIRST	ovn_dilemma_rotblood_skit	
SECOND	ovn_dilemma_rotblood_skit	
THIRD	ovn_dilemma_rotblood_skit	
FOURTH	ovn_dilemma_rotblood_skit	
FIRST	ovn_dilemma_arb_excavation	
SECOND	ovn_dilemma_arb_excavation	
FIRST	ovn_dilemma_alb_alt_leader	
SECOND	ovn_dilemma_alb_alt_leader	
FIRST	ovn_dilemma_moot_confed	
SECOND	ovn_dilemma_moot_confed	
FIRST	ovn_dilemma_grudge_hire	
SECOND	ovn_dilemma_grudge_hire	
FIRST	ovn_dilemma_grudge_hire_vortex	
SECOND	ovn_dilemma_grudge_hire_vortex	
