faction_agent_permitted_subtypes_tables	0
agent	faction	subtype
champion	wh2_main_amz_amazons	wh2_main_lzd_saurus_scar_veteran
colonel	wh2_main_amz_amazons	wh2_main_lzd_saurus_old_blood
dignitary	wh2_main_amz_amazons	default
engineer	wh2_main_amz_amazons	default
general	wh2_main_amz_amazons	wh2_dlc12_lzd_red_crested_skink_chief
general	wh2_main_amz_amazons	wh2_dlc12_lzd_red_crested_skink_chief_legendary
general	wh2_main_amz_amazons	wh2_main_lzd_kroq_gar
general	wh2_main_amz_amazons	wh2_main_lzd_lord_mazdamundi
general	wh2_main_amz_amazons	wh2_main_lzd_saurus_old_blood
general	wh2_main_amz_amazons	wh2_main_lzd_slann_mage_priest
minister	wh2_main_amz_amazons	default
runesmith	wh2_main_amz_amazons	default
spy	wh2_main_amz_amazons	wh2_main_lzd_skink_chief
wizard	wh2_main_amz_amazons	wh2_main_lzd_skink_priest_beasts
wizard	wh2_main_amz_amazons	wh2_main_lzd_skink_priest_heavens
