agent_uniforms_tables	9
filename	uniform_name	battle_filename	campaign_porthole_filename	campaign_politician_filename
ovn_hlf_moot_general_0	ovn_hlf_moot_general	ovn_hlf_moot_general_0	ovn_hlf_moot_general_0	
ovn_hlf_moot_general_01	ovn_hlf_moot_general_1	ovn_hlf_moot_general_01	ovn_hlf_moot_general_01	
ovn_hlf_fieldwarden_0	ovn_hlf_fieldwarden	ovn_hlf_fieldwarden_0	ovn_hlf_fieldwarden_0	
ovn_hlf_fieldwarden_1	ovn_hlf_fieldwarden_1	ovn_hlf_fieldwarden_1	ovn_hlf_fieldwarden_1	
ovn_hlf_master_chef_0	ovn_hlf_master_chef	ovn_hlf_master_chef_0	ovn_hlf_master_chef_0	
ovn_hlf_master_chef_1	ovn_hlf_master_chef_1	ovn_hlf_master_chef_1	ovn_hlf_master_chef_1	
ovn_hlf_sheriff_0	ovn_hlf_sheriff_0	ovn_hlf_sheriff_0	ovn_hlf_sheriff_0	
ovn_hlf_moot_general_1_poultry	ovn_hlf_moot_general_1_poultry	ovn_hlf_moot_general_1_poultry	ovn_hlf_moot_general_0	
ovn_hlf_moot_general_2_poultry	ovn_hlf_moot_general_2_poultry	ovn_hlf_moot_general_2_poultry	ovn_hlf_moot_general_0	
ovn_hlf_master_chef_0_wagon	ovn_hlf_master_chef_wagon	ovn_hlf_master_chef_0_wagon	ovn_hlf_master_chef_0	
ovn_hlf_master_chef_1_wagon	ovn_hlf_master_chef_1_wagon	ovn_hlf_master_chef_1_wagon	ovn_hlf_master_chef_1	
ovn_hlf_sheriff_1	ovn_hlf_sheriff_1	ovn_hlf_sheriff_1	ovn_hlf_sheriff_1	
