unit	faction_override	character_level
#campaign_mercenary_unit_character_level_restrictions_tables;1;db/campaign_mercenary_unit_character_level_restrictions_tables/ovn_lost_factions		
sr_ogre_ror	wh2_main_emp_the_moot	21
halfling_warfoot	wh2_main_emp_the_moot	7
halfling_cock	wh2_main_emp_the_moot	11
wh_main_mtl_veh_soupcart	wh2_main_emp_the_moot	16
halfling_cat_ror	wh2_main_emp_the_moot	26
urblab_rotgut_mercenary_ogres	wh2_main_emp_grudgebringers	9
galed_elf_archers	wh2_main_emp_grudgebringers	7
treeman_gnarl_fist	wh2_main_emp_grudgebringers	12
ragnar_wolves	wh2_main_emp_grudgebringers	5
grudgebringer_cannon	wh2_main_emp_grudgebringers	0
grudgebringer_cavalry	wh2_main_emp_grudgebringers	0
grudgebringer_crossbow	wh2_main_emp_grudgebringers	0
grudgebringer_infantry	wh2_main_emp_grudgebringers	0
ovn_jag_ror		7
ovn_jez_ror		16
ovn_cat_knights_ror		21
ovn_knights_ror		11
ovn_bom_ror		32
ovn_elephant_ror		19
ovn_arb_mon_war_elephant_ror		26
wh_pro04_chs_art_hellcannon_ror_0	wh2_main_nor_rotbloods	30
wh_pro04_chs_cav_chaos_knights_ror_0	wh2_main_nor_rotbloods	20
wh_pro04_chs_inf_chaos_warriors_ror_0	wh2_main_nor_rotbloods	13
wh_pro04_chs_inf_forsaken_ror_0	wh2_main_nor_rotbloods	10
wh_pro04_chs_mon_chaos_spawn_ror_0	wh2_main_nor_rotbloods	16
wh_pro04_chs_mon_dragon_ogre_ror_0	wh2_main_nor_rotbloods	25
wh_pro04_nor_inf_chaos_marauders_ror_0	wh2_main_nor_rotbloods	8
