key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/ovn		
farm_machine	chariot	cavalry_chariots
ovn_fim_cavalry_bog_beast	wh2_main_lzd_dinosaur	cavalry_chariots
monstrous_bone_thrower	monstrous_bone_thrower	monster_beasts
missile_camelry_rifle	arb_camelry_tifle	missile_cavalry_chariots
missile_camelry_bow	arb_camelry_bow	missile_cavalry_chariots
camelry	arb_camelry	cavalry_chariots
poultry	hlf_cavoultry	cavalry_chariots
ovn_com_olorin_the_grey_wizard	ovn_com_olorin_the_grey_wizard	commander
ovn_com_aragand_the_layabout	wh_dlc07_brt_grail_relique	heroes_agents
ovn_com_aragand_the_true_king	infantry_sword_great	heroes_agents
ovn_com_legles_the_elf	wh2_main_infantry_dual_swords	heroes_agents
ovn_com_giblit_the_dwarf	infantry_axe_great	heroes_agents
ovn_arb_djinns	wh2_dlc11_cst_syreens	monster_beasts
ovn_arb_magician_life	wh_dlc05_wef_lore_life	heroes_agents
ovn_arb_magician_desert	wh2_main_lore_high	heroes_agents
ovn_arb_magician_fire	wh_main_lore_fire	heroes_agents
ovn_arb_magician_heavens	wh_main_lore_heavens	heroes_agents
monster_missile_javelin	wh2_main_missile_infantry_javelin	monster_beasts
pigalry	hlf_pigalry	cavalry_chariots
ovn_arb_spy	ovn_arb_spy	heroes_agents
grudgebringer_infantry	grudgebringer_infantry	infantry
grudgebringer_cannon	grudgebringer_cannon	artillery_war_machines
grudgebringer_cavalry	grudgebringer_cavalry	cavalry_chariots
grudgebringer_crossbow	grudgebringer_crossbow	missile_infantry
helmgart_bowmen	helmgart_bowmen	missile_infantry
keelers_longbows	keelers_longbows	missile_infantry
dargrimm_firebeard_dwarf_warriors	dargrimm_firebeard_dwarf_warriors	infantry
azguz_bloodfist_dwarf_warriors	azguz_bloodfist_dwarf_warriors	infantry
urblab_rotgut_mercenary_ogres	urblab_rotgut_mercenary_ogres	monster_beasts
treeman_knarlroot	treeman_knarlroot	monster_beasts
galed_elf_archers	galed_elf_archers	missile_infantry
elrod_wood_elf_glade_guards	elrod_wood_elf_glade_guards	infantry
black_avangers	black_avangers	infantry
carlsson_cavalry	carlsson_cavalry	cavalry_chariots
carlsson_guard	carlsson_guard	infantry
countess_guard	countess_guard	infantry
vannheim_75th	vannheim_75th	cavalry_chariots
treeman_gnarl_fist	treeman_gnarl_fist	monster_beasts
ovn_scor	wh2_dlc09_tmb_scorpion	monster_beasts
emp_gru_inf_flag	emp_gru_inf_flag	infantry
emp_cnt_grd_flag	emp_cnt_grd_flag	infantry
emp_flag_inf_flag	emp_flag_inf_flag	infantry
emp_gswords_inf_flag	emp_gswords_inf_flag	infantry
emp_dwarf_war_flag	emp_dwarf_war_flag	infantry
emp_elf_inf_flag	emp_elf_inf_flag	infantry
emp_out_inf_flag	emp_out_inf_flag	missile_infantry
emp_grudge_cross_flag	emp_grudge_cross_flag	missile_infantry
emp_helm_bow_flag	emp_helm_bow_flag	missile_infantry
emp_elf_arch_flag	emp_elf_arch_flag	missile_infantry
emp_out_pist_flag	emp_out_pist_flag	missile_cavalry_chariots
emp_ragnar_wolves_flag	emp_ragnar_wolves_flag	cavalry_chariots
emp_carlsson_cav_flag	emp_carlsson_cav_flag	cavalry_chariots
emp_grail_knights_flag	emp_grail_knights_flag	cavalry_chariots
emp_realm_knights_flag	emp_realm_knights_flag	cavalry_chariots
emp_grudge_cav_flag	emp_grudge_cav_flag	commander
emp_grudge_can_flag	emp_grudge_can_flag	artillery_war_machines
emp_imperial_can_flag	emp_imperial_can_flag	artillery_war_machines
emp_imperial_mortar_flag	emp_imperial_mortar_flag	artillery_war_machines
emp_ice_mage_flag	emp_ice_mage_flag	heroes_agents
ovn_heavy_cav	cavalry	cavalry_chariots
ovn_elephant	wh_dlc08_nor_chaos_war_mammoth	monster_beasts
ovn_shock_infantry	infantry_sword	infantry
ovn_rbt_ch_blightstormer	wh2_main_lore_plague	heroes_agents
ovn_druids	wh2_main_infantry_druid	infantry
ovn_centaur_great_weapons	centaur_great_weapon	cavalry_chariots
ovn_fenbeasts	fenbeast	monster_beasts
rbt_nurgle_daemon	rbt_nurgle_daemon	infantry
kho_bloodletter	kho_bloodletter	infantry
Blood_Thirster_ui	Blood_Thirster	monster_beasts
hlf_master_chef	hlf_master_chef	heroes_agents
ovn_flying_missile_carpetry	arb_carpet_archers	missile_cavalry_chariots
missile_flying_chariot	flying_missile_chariot	missile_cavalry_chariots
monstrous_shock_cavalry_steed	shock_cavalry	cavalry_chariots
monstrous_cavalry_steed	cavalry	cavalry_chariots
