ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/@ovn_mtl_crazed_cooks	
ovn_unit_abilities_crazed_cooks	wh_main_all_armour_piercing
ovn_unit_abilities_crazed_cooks	wh_main_all_small_aoe
ovn_unit_abilities_crazed_cooks	wh_main_all_strong_against_units
ovn_unit_abilities_crazed_cooks	wh_main_all_weak_against_single
ovn_unit_abilities_crazed_cooks	wh_main_vortex_unpredictable
ovn_unit_abilities_crazed_cooks_upgraded	wh_main_all_armour_piercing
ovn_unit_abilities_crazed_cooks_upgraded	wh_main_all_small_aoe
ovn_unit_abilities_crazed_cooks_upgraded	wh_main_all_strong_against_units
ovn_unit_abilities_crazed_cooks_upgraded	wh_main_all_weak_against_single
ovn_unit_abilities_crazed_cooks_upgraded	wh_main_vortex_unpredictable
