key	image_path	localised_description	localised_name	unlocked_at_rank	is_background_skill	is_female_only_background_skill	is_male_only_background_skill	background_weighting	influence_cost
#character_skills_tables;5;db/character_skills_tables/ovn_wolf_halfling_lordsheroes									
wh2_main_skill_all_dummy_agent_actions_hlf_fieldwarden	icon_stat_melee.png		Actions [HIDDEN]	0	false	false	false	0.0	0
hlf_fieldwarden_halfling_hero	campaign_army.png	Fieldwardens are esteemed figures in Halfling society, they know everyone and everyone knows them. Their sole presence can instill courage in the heart of fellow Halflings.	Halfling of the People	11	false	false	false	0.0	0
hlf_fieldwarden_friendly_competition	battle_ammo.png	The presence of a Fieldwarden often leads nearby Halflings to try and outdo eachother in an effort to impress the Fieldwarden.	Friendly Competition	0	false	false	false	0.0	0
hlf_fieldwarden_border_patrol	character_subterfuge.png	Lone Fieldwardens are often posted in the forests and hills at the borders of the Moot in order to stop any covert enemy incursions.	Border Patrols	11	false	false	false	0.0	0
hlf_fieldwarden_moot_warden	character_ranged_damage.png	"And stay out, unless you want the next one  to hit something more sensitive!"	Defender of the Moot	0	false	false	false	0.0	0
wh2_main_skill_all_dummy_agent_actions_hlf_master_chef	icon_stat_melee.png		Actions [HIDDEN]	0	false	false	false	0.0	0
hlf_master_chef_skill_3_0_regeneration_passive_aura	hlf_master_chef_skill_3_0_regeneration_passive_aura.png		Food Delivery	0	false	false	false	0.0	0
hlf_master_chef_skill_3_1_earth_blood	hlf_master_chef_skill_3_1_earth_blood.png		earth_blood	0	false	false	false	0.0	0
hlf_master_chef_skill_3_2_cook_aura	campaign_army.png		The Feast is Coming!	10	false	false	false	0.0	0
hlf_master_chef_skill_3_3_hot_spices	hlf_master_chef_skill_3_3_hot_spices.png		Hot Spices	10	false	false	false	0.0	0
hlf_moot_general_skill_1_3_defense_moot	character_damage.png		In Defense of the Moot	10	false	false	false	0.0	0
hlf_moot_general_skill_1_3_pure_good	character_damage.png		For all that is Pure and Good	10	false	false	false	0.0	0
wh2_main_skill_all_dummy_agent_actions_hlf_sheriff	icon_stat_melee.png		Actions [HIDDEN]	0	false	false	false	0.0	0
hlf_master_chef_skill_3_4_flush_soup	hlf_master_chef_skill_3_1_flush_soup.png		Spill the Soup!	10	false	false	false	0.0	0
hlf_unique_ward	character_ward_save.png	cnsidnvdnv	Smallfolk Luck	7	false	false	false	0.0	0
hlf_moot_general_skill_0_0_mount_poultry	mount_cockarel.png		poultry	8	false	false	false	0.0	0
hlf_master_chef_skill_0_0_mount_wagon	mount_cwagon.png		wagon	9	false	false	false	0.0	0
hlf_sheriff_skill_0_0_mount_pig	mount_bpig.png		pig	8	false	false	false	0.0	0
