effect_bonus_value_faction_junctions_tables	0
bonus_value_id	effect	faction
diplomatic_mod	ovn_diplomacy_bonus_hordes	wh2_dlc13_lzd_spirits_of_the_jungle
diplomatic_mod	ovn_diplomacy_bonus_hordes	wh_main_grn_skull-takerz
diplomatic_mod	wh2_main_diplomatic_relations_crusaders_bad	wh2_main_arb_aswad_scythans
diplomatic_mod	wh2_main_diplomatic_relations_crusaders_bad	wh2_main_arb_caliphate_of_araby
diplomatic_mod	wh2_main_diplomatic_relations_crusaders_bad	wh2_main_arb_flaming_scimitar
diplomatic_mod	wh2_main_diplomatic_relations_araby	wh2_main_arb_aswad_scythans
diplomatic_mod	wh2_main_diplomatic_relations_araby	wh2_main_arb_caliphate_of_araby
diplomatic_mod	wh2_main_diplomatic_relations_araby	wh2_main_arb_flaming_scimitar
diplomatic_mod	wh2_main_diplomatic_relations_averland_bad	wh_main_emp_averland
diplomatic_mod	ovn_scythan_numas_diplo	wh2_dlc09_tmb_numas
diplomatic_mod	arb_golden_magus_diplomatic_relations_sartosa	wh2_dlc11_cst_pirates_of_sartosa
