character_skill_nodes_tables	5
campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	key	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
	wh_main_skill_all_lord_battle_inspiring_presence	wh_main_skill_node_set_arb_vizier_desert		4.0	wh_skill_node_arb_vizier_desert_army_0	0.0		0	0	true
	Desert_Wind	wh_main_skill_node_set_arb_vizier_desert		4.0	wh_skill_node_arb_vizier_desert_army_1_1	1.0		0	0	true
	Sand_Dwellers	wh_main_skill_node_set_arb_vizier_desert		4.0	wh_skill_node_arb_vizier_desert_army_1_2	2.0		0	0	true
	ovn_buff_araby_nomads	wh_main_skill_node_set_arb_vizier_desert		4.0	wh_skill_node_arb_vizier_desert_army_1_3	3.0		0	0	true
	ovn_buff_araby_gunpowder	wh_main_skill_node_set_arb_vizier_desert		4.0	wh_skill_node_arb_vizier_desert_army_1_4	4.0		0	0	true
	ovn_buff_araby_bows	wh_main_skill_node_set_arb_vizier_desert		4.0	wh_skill_node_arb_vizier_desert_army_1_5	5.0		0	0	true
	ovn_buff_araby_state_inf	wh_main_skill_node_set_arb_vizier_desert		4.0	wh_skill_node_arb_vizier_desert_army_1_6	6.0		0	0	true
	wh_main_skill_all_lord_battle_rally	wh_main_skill_node_set_arb_vizier_desert		4.0	wh_skill_node_arb_vizier_desert_army_2	7.0		0	6	true
	ovn_araby_nomads_r7	wh_main_skill_node_set_arb_vizier_desert		4.0	wh_skill_node_arb_vizier_desert_army_3_1	8.0		0	0	true
	ovn_araby_state_inf_r7	wh_main_skill_node_set_arb_vizier_desert		4.0	wh_skill_node_arb_vizier_desert_army_3_2	9.0		0	0	true
	ovn_araby_beasts_r7	wh_main_skill_node_set_arb_vizier_desert		4.0	wh_skill_node_arb_vizier_desert_army_3_3	10.0		0	0	true
	ovn_araby_magic_r7	wh_main_skill_node_set_arb_vizier_desert		4.0	wh_skill_node_arb_vizier_desert_army_3_4	11.0		0	0	true
	wh_main_skill_all_lord_battle_stand_your_ground	wh_main_skill_node_set_arb_vizier_desert		4.0	wh_skill_node_arb_vizier_desert_army_4	12.0		0	1	true
	arb_vizier_desert_camel	wh_main_skill_node_set_arb_vizier_desert		0.0	wh_skill_node_arb_vizier_desert_mount_1	0.0		0	0	true
	arb_vizier_desert_magic_carpet	wh_main_skill_node_set_arb_vizier_desert		0.0	wh_skill_node_arb_vizier_desert_mount_2	1.0		0	0	true
	Order_Buff	wh_main_skill_node_set_arb_vizier_desert		0.0	wh_skill_node_arb_vizier_desert_generic_1	3.0		0	0	true
	Chaos_Buff	wh_main_skill_node_set_arb_vizier_desert		0.0	wh_skill_node_arb_vizier_desert_generic_2	4.0		0	0	true
	ovn_skill_arb_all_unique_ward_of_the_one	wh_main_skill_node_set_arb_vizier_desert		0.0	wh_skill_node_arb_vizier_desert_generic_3	6.0		0	0	true
	wh2_main_skill_all_immortality_lord	wh_main_skill_node_set_arb_vizier_desert		0.0	wh_skill_node_arb_vizier_desert_generic_4	5.0		0	0	true
	ovn_skill_magic_desert_mirage	wh_main_skill_node_set_arb_vizier_desert		2.0	wh_skill_node_arb_vizier_desert_magic_01	0.0		0	0	true
	ovn_skill_magic_desert_blessing_of_the_elements	wh_main_skill_node_set_arb_vizier_desert		2.0	wh_skill_node_arb_vizier_desert_magic_02	1.0		0	0	true
	ovn_skill_magic_desert_sunstrike	wh_main_skill_node_set_arb_vizier_desert		2.0	wh_skill_node_arb_vizier_desert_magic_03	2.0		0	0	true
	ovn_skill_magic_desert_sandstorm	wh_main_skill_node_set_arb_vizier_desert		2.0	wh_skill_node_arb_vizier_desert_magic_04	3.0		0	0	true
	ovn_skill_magic_desert_quicksand	wh_main_skill_node_set_arb_vizier_desert		2.0	wh_skill_node_arb_vizier_desert_magic_05	4.0		0	0	true
