member	climate
#campaign_group_member_criteria_climates_tables;0;db/campaign_group_member_criteria_climates_tables/cod_climate	
ovn_cod_climate_chaotic	climate_chaotic
ovn_cod_climate_desert	climate_desert
ovn_cod_climate_frozen	climate_frozen
ovn_cod_climate_island	climate_island
ovn_cod_climate_jungle	climate_jungle
ovn_cod_climate_magicforest	climate_magicforest
ovn_cod_climate_mountain	climate_mountain
ovn_cod_climate_ocean	climate_ocean
ovn_cod_climate_savannah	climate_savannah
ovn_cod_climate_temperate	climate_temperate
ovn_cod_climate_wasteland	climate_wasteland
