key	type	applies_to	transferrable	unique_to_world	unique_to_faction	precedence	start_date	end_date	avatar_skill	avatar_special_ability	legendary_item	mp_exclusive	is_wife_ancillary	category	min_starting_age	max_starting_age	min_expiry_age	max_expiry_age	immortal	provided_bodyguard_unit	provided_banner	uniqueness_score	turns_before_swap_allowed	subcategory	randomly_dropped	can_be_stolen	can_be_destroyed
#ancillaries_tables;18;db/ancillaries_tables/elo_albion																											
anc_morrigan_staff	wh_main_anc_weapon	.	false	false	false	1	0	9999			true	false	false	weapon	16	30	30	50	true			200	1		false	false	false
mount_horse_warleader	wh_main_anc_mount_warhorse	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	albion_warleader_horse		1	1		false	false	false
mount_chariot_warleader	wh_main_anc_mount_chaos_chariot	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	albion_warleader_chariot		1	1		false	false	false
mount_horse_truthsayer_beasts	wh_main_anc_mount_warhorse	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	albion_truthsayer_beast_horse		1	1		false	false	false
mount_horse_truthsayer_light	wh_main_anc_mount_warhorse	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	albion_truthsayer_light_horse		1	1		false	false	false
mount_horse_truthsayer_life	wh_main_anc_mount_warhorse	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	albion_truthsayer_life_horse		1	1		false	false	false
mount_horse_truthsayer_truth	wh_main_anc_mount_warhorse	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	albion_truthsayer_life_horse		1	1		false	false	false
mount_horse_chief	wh_main_anc_mount_warhorse	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	albion_chief_horse		1	1		false	false	false
mount_chariot_chief	wh_main_anc_mount_warhorse	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	albion_chief_chariot		1	1		false	false	false
mount_horse_wyrd	wh_main_anc_mount_warhorse	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	albion_wyrd_druid_horse		1	1		false	false	false
mount_raven_morrigan	wh_dlc05_anc_mount_wef_great_eagle	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	albion_morrigan_bird		1	1		false	false	false
albion_hunting_dog	wh_dlc08_anc_wood_elves_hunting_hound	.	true	false	false	1	0	9999			false	false	false	general	1	1	30	50	true			1	0	follower	true	true	false
albion_lone_huntress	albion_lone_huntress	.	true	false	false	1	0	9999			false	false	false	general	1	1	30	50	true			1	0	follower	true	true	false
albion_woad_raider	albion_woad_raider	.	true	false	false	1	0	9999			false	false	false	general	1	1	30	50	true			1	0	follower	true	true	false
albion_tame_raven	albion_tame_raven	.	true	false	false	1	0	9999			false	false	false	general	1	1	30	50	true			1	0	follower	true	true	false
albion_druid_advisor	albion_druid_advisor	.	true	false	false	1	0	9999			false	false	false	general	1	1	30	50	true			1	0	follower	true	true	false
albion_chief	albion_chief	.	true	false	false	1	0	9999			false	false	false	general	1	1	30	50	true			1	0	follower	true	true	false
albion_old_warrior	albion_old_warrior	.	true	false	false	1	0	9999			false	false	false	general	1	1	30	50	true			1	0	follower	true	true	false
albion_scavanger	albion_scavanger	.	true	false	false	1	0	9999			false	false	false	general	1	1	30	50	true			1	0	follower	true	true	false
albion_woman	albion_woman	.	true	false	false	1	0	9999			false	false	false	general	1	1	30	50	true			1	0	follower	true	true	false
fenbeast_follower	wh_dlc08_anc_wood_elves_forest_spirit	.	true	false	false	1	0	9999			false	false	false	general	1	1	30	50	true			1	0	follower	true	true	false
hearthguard_follower	hearthguard_follower	.	true	false	false	1	0	9999			false	false	false	general	1	1	30	50	true			1	0	follower	true	true	false
druid_neophyte	druid_neophyte	.	true	false	false	1	0	9999			false	false	false	general	1	1	30	50	true			1	0	follower	true	true	false
albion_hardened_warrior	hearthguard_follower	.	true	false	false	1	0	9999			false	false	false	general	1	1	30	50	true			1	0	follower	true	true	false
albion_scary_banner	albion_scary_banner	.	true	false	false	1	0	9999			false	false	false	general	16	30	30	50	true		albion_scary_banner	15	0	banner	true	true	false
anc_albion_triskele_banner	anc_albion_triskele_banner	.	true	false	false	1	0	9999			false	false	false	general	16	30	30	50	true		anc_albion_triskele_banner	25	0	banner	true	true	false
anc_danu_banner	anc_danu_banner	.	true	false	false	1	0	9999			false	false	false	general	16	30	30	50	true		anc_danu_banner	35	0	banner	true	true	false
anc_albion_hunter_banner	anc_albion_hunter_banner	.	true	false	false	1	0	9999			false	false	false	general	16	30	30	50	true		anc_albion_hunter_banner	50	0	banner	true	true	false
anc_albion_staff_of_light	wh_main_anc_arcane_item	.	true	false	false	1	0	9999			false	false	false	arcane_item	16	30	30	50	true			40	0		true	true	false
anc_albion_talisman_triskele	wh_main_anc_talisman	.	true	false	false	1	0	9999			false	false	false	talisman	16	30	30	50	true			30	0		true	true	false
anc_albion_hammer_giant	wh_main_anc_weapon	.	true	false	false	1	0	9999			false	false	false	weapon	16	30	30	50	true			35	0		true	true	false
