ancillaries_required_skills_tables	1
ancillary	required_skill	required_skill_level
grudge_anc_rune_rune_of_fury	grudge_skill_rune_of_fury	1
grudge_anc_rune_rune_of_might	grudge_skill_rune_of_might	1
grudge_anc_rune_rune_of_parrying	grudge_skill_rune_of_parrying	1
grudge_anc_rune_rune_of_striking	grudge_skill_rune_of_striking	1
grudge_item_horn_of_urgok	grudge_skill_horn_of_urgok	1
grudge_item_grudgebringer_sword	grudge_skill_grudgebringer_sword	1
grudge_item_hellfire_sword	grudge_skill_hellfire_sword	1
grudge_item_storm_sword	grudge_skill_storm_sword	1
grudge_item_runefang	grudge_skill_runefang	1
grudge_item_enchanted_shield	grudge_skill_enchanted_shield	1
grudge_item_shield_of_ptolos	grudge_skill_shield_of_ptolos	1
grudge_item_spelleater_shield	grudge_skill_spelleater_shield	1
grudge_item_dragonhelm	grudge_skill_dragonhelm	1
grudge_item_wand_of_jet	grudge_skill_wand_of_jet	1
grudge_item_banner_of_arcane_warding	grudge_skill_banner_of_arcane_warding	1
grudge_item_banner_of_wrath	grudge_skill_banner_of_wrath	1
grudge_item_banner_of_defiance	grudge_skill_banner_of_defiance	1
