ancillary	subculture
#ancillary_included_subcultures_tables;0;db/ancillary_included_subcultures_tables/ovn_troll_sc	
wh_dlc01_anc_follower_chaos_barbarian	wh_main_sc_nor_troll
wh_dlc01_anc_follower_chaos_beast_tamer	wh_main_sc_nor_troll
wh_dlc01_anc_follower_chaos_collector	wh_main_sc_nor_troll
wh_dlc01_anc_follower_chaos_cultist	wh_main_sc_nor_troll
wh_dlc01_anc_follower_chaos_huscarl	wh_main_sc_nor_troll
wh_dlc01_anc_follower_chaos_kurgan_chieftain	wh_main_sc_nor_troll
wh_dlc01_anc_follower_chaos_mutant	wh_main_sc_nor_troll
wh_dlc01_anc_follower_chaos_oar_slave	wh_main_sc_nor_troll
wh_dlc01_anc_follower_chaos_possessed	wh_main_sc_nor_troll
wh_dlc01_anc_follower_chaos_slave_master	wh_main_sc_nor_troll
wh_dlc01_anc_follower_chaos_zealot	wh_main_sc_nor_troll
wh_dlc01_anc_mount_nor_chaos_sorcerer_lord_warhorse	wh_main_sc_nor_troll
wh_dlc08_anc_armour_blood_stained_armour_of_morkar	wh_main_sc_nor_troll
wh_dlc08_anc_armour_helm_of_reavers	wh_main_sc_nor_troll
wh_dlc08_anc_armour_huskarl_plates	wh_main_sc_nor_troll
wh_dlc08_anc_armour_mammoth_hide_cape	wh_main_sc_nor_troll
wh_dlc08_anc_enchanted_item_ancient_frost_wyrm_scale	wh_main_sc_nor_troll
wh_dlc08_anc_enchanted_item_arachnarok_eggs	wh_main_sc_nor_troll
wh_dlc08_anc_enchanted_item_frost_wyrm_scale	wh_main_sc_nor_troll
wh_dlc08_anc_enchanted_item_great_horn_of_dragon_ogre	wh_main_sc_nor_troll
wh_dlc08_anc_enchanted_item_manticore_horn	wh_main_sc_nor_troll
wh_dlc08_anc_enchanted_item_vial_of_troll_blood	wh_main_sc_nor_troll
wh_dlc08_anc_follower_baernsonlings_berserker	wh_main_sc_nor_troll
wh_dlc08_anc_follower_baernsonlings_werekin	wh_main_sc_nor_troll
wh_dlc08_anc_follower_beserker	wh_main_sc_nor_troll
wh_dlc08_anc_follower_cathy_slave_dancers	wh_main_sc_nor_troll
wh_dlc08_anc_follower_dragonbone_raiders	wh_main_sc_nor_troll
wh_dlc08_anc_follower_kurgan_slave_merchant	wh_main_sc_nor_troll
wh_dlc08_anc_follower_mammoth	wh_main_sc_nor_troll
wh_dlc08_anc_follower_marauder_champion	wh_main_sc_nor_troll
wh_dlc08_anc_follower_mountain_scout	wh_main_sc_nor_troll
wh_dlc08_anc_follower_seer	wh_main_sc_nor_troll
wh_dlc08_anc_follower_skaeling_trader	wh_main_sc_nor_troll
wh_dlc08_anc_follower_slave_worker	wh_main_sc_nor_troll
wh_dlc08_anc_follower_vargs_beast_trainer	wh_main_sc_nor_troll
wh_dlc08_anc_follower_whalers	wh_main_sc_nor_troll
wh_dlc08_anc_mount_nor_chieftain_marauder_chariot	wh_main_sc_nor_troll
wh_dlc08_anc_mount_nor_wulfrik_marauder_chariot	wh_main_sc_nor_troll
wh_dlc08_anc_mount_nor_wulfrik_norscan_warhorse	wh_main_sc_nor_troll
wh_dlc08_anc_mount_nor_wulfrik_war_mammoth	wh_main_sc_nor_troll
wh_dlc08_anc_talisman_giant_cygor_eyeball	wh_main_sc_nor_troll
wh_dlc08_anc_talisman_headband_of_berserker	wh_main_sc_nor_troll
wh_dlc08_anc_talisman_lootbag_of_marauders	wh_main_sc_nor_troll
wh_dlc08_anc_talisman_slave_chain	wh_main_sc_nor_troll
wh_dlc08_anc_talisman_terrorgheist_skull	wh_main_sc_nor_troll
wh_dlc08_anc_talisman_wintertooth_crown	wh_main_sc_nor_troll
wh_dlc08_anc_talisman_wolf_teeth_amulet	wh_main_sc_nor_troll
wh_dlc08_anc_weapon_fimir_hammer	wh_main_sc_nor_troll
wh_dlc08_anc_weapon_flaming_axe_of_cormac	wh_main_sc_nor_troll
wh_dlc08_anc_weapon_forest_dragon_fang	wh_main_sc_nor_troll
wh_dlc08_anc_weapon_stinky_giant_club	wh_main_sc_nor_troll
wh_dlc08_anc_weapon_sword_of_torgald	wh_main_sc_nor_troll
wh_dlc08_anc_weapon_troll_fang_dagger	wh_main_sc_nor_troll
wh_main_anc_follower_all_student	wh_main_sc_nor_troll
wh_main_anc_follower_norsca_berserker	wh_main_sc_nor_troll
wh_main_anc_mount_nor_chaos_sorcerer_warhorse	wh_main_sc_nor_troll
wh_main_anc_mount_nor_marauder_chieftain_warhorse	wh_main_sc_nor_troll
