config_key	template_key	priority	leader_only
#cdir_military_generator_template_priorities_tables;1;db/cdir_military_generator_template_priorities_tables/ovn_recruitment			
ovn_araby_jaffar	ovn_araby_jaffar_land	50	false
ovn_araby_magus	ovn_araby_magus_land	50	false
ovn_araby_fatandira	ovn_araby_fatandira_land	50	false
ovn_araby_jaffar	ovn_araby_jaffar	600	true
ovn_araby_magus	ovn_araby_magus	600	true
ovn_araby_fatandira	ovn_araby_fatandira	600	true
ovn_trollz	ovn_trollz	50	false
ovn_halflings	ovn_halflings	50	false
ovn_fimir_meargh	ovn_fimir_meargh	50	false
ovn_fimir_belakor	ovn_fimir_belakor	50	false
ovn_albion	ovn_albion	50	false
ovn_grudgebringers	ovn_grudgebringers	50	false
ovn_dreadking	ovn_dreadking	50	false
