Loc PackedFile	1
key	text	tooltip
unit_abilities_onscreen_name_ovn_lore_passive_blessing_of_the_elements	Blessing of the Elements	true
unit_abilities_onscreen_name_ovn_spell_desert_mirage	Mirage	true
unit_abilities_onscreen_name_ovn_spell_desert_mirage_upgraded	Mirage Upgraded	true
unit_abilities_onscreen_name_ovn_spell_desert_sunstrike	Sunstrike	true
unit_abilities_onscreen_name_ovn_spell_desert_sunstrike_upgraded	Sunstrike Upgraded	true
unit_abilities_onscreen_name_ovn_spell_desert_sandstorm	Sandstorm	true
unit_abilities_onscreen_name_ovn_spell_desert_sandstorm_upgraded	Sandstorm Upgraded	true
unit_abilities_onscreen_name_ovn_spell_desert_quicksand	Quicksand	true
unit_abilities_onscreen_name_ovn_spell_desert_quicksand_upgraded	Quicksand Upgraded	true
unit_abilities_onscreen_name_ovn_spell_desert_burning_hands	Burning Hands	true
unit_abilities_onscreen_name_ovn_spell_desert_burning_hands_upgraded	Burning Hands Upgraded	true
unit_abilities_onscreen_name_ovn_spell_desert_curse_of_the_djinn	Curse of the Djinn	true
unit_abilities_onscreen_name_ovn_spell_desert_curse_of_the_djinn_upgraded	Curse of the Djinn Upgraded	true
unit_abilities_tooltip_text_ovn_lore_passive_blessing_of_the_elements	The magician utters a blessing onto the weapons of his allies, imbuing their attacks with the magic of the elements.	true
unit_abilities_tooltip_text_ovn_spell_desert_mirage	Conjured by an Arabyan magician, a magical illusion exploits his enemy's most inner desires, distracting them from their foe.	true
unit_abilities_tooltip_text_ovn_spell_desert_mirage_upgraded	Conjured by an Arabyan magician, a magical illusion exploits his enemy's most inner desires, distracting them from their foe.	true
unit_abilities_tooltip_text_ovn_spell_desert_sunstrike	Bright beams of burning energy leap from the wizard's eyes and scythe through all before him.	true
unit_abilities_tooltip_text_ovn_spell_desert_sunstrike_upgraded	Bright beams of burning energy leap from the wizard's eyes and scythe through all before him.	true
unit_abilities_tooltip_text_ovn_spell_desert_sandstorm	Commanding the desert spirit of Da'ru'de, the sorcerer engulfs his foes in a swirling cloud of choking sand and dust.	true
unit_abilities_tooltip_text_ovn_spell_desert_sandstorm_upgraded	Commanding the desert spirit of Da'ru'de, the sorcerer engulfs his foes in a swirling cloud of choking sand and dust.	true
unit_abilities_tooltip_text_ovn_spell_desert_quicksand	The wizard turns the ground into bottomless quicksand, dragging any unfortunates down into the abyss.	true
unit_abilities_tooltip_text_ovn_spell_desert_quicksand_upgraded	The wizard turns the ground into bottomless quicksand, dragging any unfortunates down into the abyss.	true
unit_abilities_tooltip_text_ovn_spell_desert_burning_hands	As if possessed by a Fire Efreet, the caster conjures scorching flames from his hands to burn his enemies to a crisp.	true
unit_abilities_tooltip_text_ovn_spell_desert_burning_hands_upgraded	As if possessed by a Fire Efreet, the caster conjures scorching flames from his hands to burn his enemies to a crisp.	true
unit_abilities_tooltip_text_ovn_spell_desert_curse_of_the_djinn	Channeling the immense powers of the Djinn through his own body, the sorcerer lays a terrible curse upon his foes.	true
unit_abilities_tooltip_text_ovn_spell_desert_curse_of_the_djinn_upgraded	Channeling the immense powers of the Djinn through his own body, the sorcerer lays a terrible curse upon his foes.	true
unit_abilities_onscreen_name_ovn_unit_passive_unbinding_arb_spearmen_mirage	Unbinding	true
unit_abilities_onscreen_name_ovn_unit_passive_unbinding_arb_spearmen_mirage_upgraded	Unbinding	true
unit_abilities_tooltip_text_ovn_unit_passive_unbinding_arb_spearmen_mirage	Summoned creatures exist in this world on borrowed time, disappearing back to the winds from whence they came.	true
unit_abilities_tooltip_text_ovn_unit_passive_unbinding_arb_spearmen_mirage_upgraded	Summoned creatures exist in this world on borrowed time, disappearing back to the winds from whence they came.	true
