character_skill_nodes_tables	5
campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	key	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
	dummy_agent_actions_enable_assist_army	vladimir_stormbringer		8.0	vladimir_stormbringer_dummy_01	0.0		1	0	false
	wh2_main_skill_all_hero_assist_army_scouting	vladimir_stormbringer		5.0	vladimir_stormbringer_campaign_01	0.0		0	0	true
	grudgebringers_campaign_quartermaster	morgan_bernhardt		6.0	morgan_bernhardt_innate_01	0.0		1	0	false
	wh2_main_skill_innate_all_knowledgeable	vladimir_stormbringer		6.0	vladimir_stormbringer_innate_01	0.0		0	0	false
	wh_main_skill_all_lord_battle_inspiring_presence	morgan_bernhardt		4.0	morgan_bernhardt_army_01	0.0		0	0	true
	wh2_main_skill_def_malekith_absolute_power	morgan_bernhardt		4.0	morgan_bernhardt_army_02	1.0		0	0	true
	ovn_grudge_gold	morgan_bernhardt		4.0	morgan_bernhardt_army_03	2.0		0	0	true
	ovn_grudge_glory	morgan_bernhardt		4.0	morgan_bernhardt_army_04	3.0		0	0	true
	wh_main_skill_emp_lord_battle_pistolkorps	morgan_bernhardt		4.0	morgan_bernhardt_army_05	4.0		0	0	true
	wh_main_skill_all_lord_battle_rally	morgan_bernhardt		4.0	morgan_bernhardt_army_06	5.0		0	3	true
	wh_main_skill_all_lord_battle_brass-lunged	morgan_bernhardt		4.0	morgan_bernhardt_army_07	6.0		0	0	true
	ovn_grudge_soldiers_of_fortune	morgan_bernhardt		4.0	morgan_bernhardt_army_08	7.0		0	0	true
	wh_main_skill_emp_lord_battle_imperial_gunnery	morgan_bernhardt		4.0	morgan_bernhardt_army_09	8.0		0	0	true
	wh_main_skill_brt_lord_battle_basic_training	morgan_bernhardt		4.0	morgan_bernhardt_army_10	9.0		0	0	true
	wh_main_skill_all_lord_battle_stand_your_ground	morgan_bernhardt		4.0	morgan_bernhardt_army_11	10.0		0	3	true
	wh_main_skill_all_lord_campaign_route_marcher	morgan_bernhardt		5.0	morgan_bernhardt_campaign_01	0.0		0	0	true
	wh_main_skill_emp_lord_campaign_iron_disciplinarian	morgan_bernhardt		5.0	morgan_bernhardt_campaign_02	1.0		0	0	true
	wh2_main_skill_def_campaign_wary	morgan_bernhardt		5.0	morgan_bernhardt_campaign_03	2.0		0	0	true
	wh_main_skill_lord_all_campaign_reassuring_presence	morgan_bernhardt		5.0	morgan_bernhardt_campaign_04	3.0		0	0	true
	wh_main_skill_emp_lord_campaign_fervent	morgan_bernhardt		5.0	morgan_bernhardt_campaign_05	4.0		0	0	true
	wh2_main_skill_LL_self_defense	morgan_bernhardt		5.0	morgan_bernhardt_campaign_06	5.0		0	4	true
	wh_main_skill_all_lord_campaign_lightning_strike	morgan_bernhardt		5.0	morgan_bernhardt_campaign_07	6.0		0	0	true
	wh_main_skill_emp_lord_campaign_quartermaster	morgan_bernhardt		5.0	morgan_bernhardt_campaign_08	7.0		0	0	true
	wh_main_skill_emp_lord_campaign_logistician	morgan_bernhardt		5.0	morgan_bernhardt_campaign_09	8.0		0	0	true
	wh_main_skill_all_lord_campaign_alert	morgan_bernhardt		5.0	morgan_bernhardt_campaign_10	9.0		0	0	true
	wh2_main_skill_def_malekith_warleader_1	morgan_bernhardt		5.0	morgan_bernhardt_campaign_11	10.0		0	4	true
	grudge_skill_damage_starter	morgan_bernhardt		1.0	morgan_bernhardt_war_01	0.0		0	0	true
	grudge_skill_attack_main1	morgan_bernhardt		1.0	morgan_bernhardt_war_02	1.0		0	0	true
	grudge_skill_damage_main1	morgan_bernhardt		1.0	morgan_bernhardt_war_03	2.0		0	0	true
	grudge_skill_defence_main1	morgan_bernhardt		1.0	morgan_bernhardt_war_04	3.0		0	0	true
	grudge_skill_armour_main1	morgan_bernhardt		1.0	morgan_bernhardt_war_05	4.0		0	0	true
	grudge_skill_deadly_onslaught	morgan_bernhardt		1.0	morgan_bernhardt_war_06	5.0		0	4	true
	grudge_skill_attack_main2	morgan_bernhardt		1.0	morgan_bernhardt_war_07	6.0		0	0	true
	grudge_skill_damage_main2	morgan_bernhardt		1.0	morgan_bernhardt_war_08	7.0		0	0	true
	grudge_skill_defence_main2	morgan_bernhardt		1.0	morgan_bernhardt_war_09	8.0		0	0	true
	grudge_skill_armour_main2	morgan_bernhardt		1.0	morgan_bernhardt_war_10	9.0		0	0	true
	grudge_skill_heroic_killing_blow	morgan_bernhardt		1.0	morgan_bernhardt_war_11	10.0		0	4	true
	magic_ice_shield_of_cold	vladimir_stormbringer		1.0	vladimir_stormbringer_war1_01	1.0		0	0	true
	magic_ice_frost_blade	vladimir_stormbringer		1.0	vladimir_stormbringer_war1_02	2.0		0	0	true
	magic_ice_crisping_cold	vladimir_stormbringer		1.0	vladimir_stormbringer_war1_03	3.0		0	0	true
	magic_ice_shattering_frost	vladimir_stormbringer		1.0	vladimir_stormbringer_war1_04	4.0		0	0	true
	skill_all_magic_ice_cold	vladimir_stormbringer		1.0	vladimir_stormbringer_war1_05	5.0		0	3	true
	magic_ice_chill	vladimir_stormbringer		1.0	vladimir_stormbringer_war1_06	6.0		0	0	true
	magic_ice_blinding_blizzard	vladimir_stormbringer		1.0	vladimir_stormbringer_war1_07	7.0		0	0	true
	magic_ice_shield_of_cold_dummy	vladimir_stormbringer		1.0	vladimir_stormbringer_war1_dummy	0.0		1	0	false
	magic_ice_ice_shards	vladimir_stormbringer		2.0	vladimir_stormbringer_war2_01	1.0		0	0	true
	magic_ice_storm_strike	vladimir_stormbringer		2.0	vladimir_stormbringer_war2_02	2.0		0	0	true
	magic_ice_chill_blast	vladimir_stormbringer		2.0	vladimir_stormbringer_war2_03	3.0		0	0	true
	magic_ice_ice_blizzard	vladimir_stormbringer		2.0	vladimir_stormbringer_war2_04	4.0		0	0	true
	skill_all_magic_ice_winter	vladimir_stormbringer		2.0	vladimir_stormbringer_war2_05	5.0		0	3	true
	magic_ice_tempest	vladimir_stormbringer		2.0	vladimir_stormbringer_war2_06	6.0		0	0	true
	magic_ice_hailstorm	vladimir_stormbringer		2.0	vladimir_stormbringer_war2_07	7.0		0	0	true
	magic_ice_ice_shards_dummy	vladimir_stormbringer		2.0	vladimir_stormbringer_war2_dummy	0.0		1	0	false
	wh_main_skill_emp_all_unique_sigmars_ward	vladimir_stormbringer		0.0	vladimir_stormbringer_unique_04	3.0		0	0	true
	wh2_main_skill_lzd_disciplines_higher_state_of_consciousness	vladimir_stormbringer		0.0	vladimir_stormbringer_unique_05	4.0		0	0	true
	wh_dlc07_skill_brt_fay_enchantress_unique_power_familiar	vladimir_stormbringer		0.0	vladimir_stormbringer_unique_06	5.0		0	0	true
	wh2_main_skill_hef_teclis_sublime_focus	vladimir_stormbringer		0.0	vladimir_stormbringer_unique_07	6.0		0	0	true
	wh2_main_skill_hef_generic_lileaths_blessing	vladimir_stormbringer		0.0	vladimir_stormbringer_unique_08	7.0		0	0	true
