cdir_military_generator_unit_qualities_tables	1
group_key	quality	unit_key
Default_land_cavalry_melee	20	OtF_khemri_knights
Default_land_infantry_melee	10	OtF_khemri_kepra_guard
Default_land_infantry_melee	5	OtF_khemri_spearmen
Default_land_infantry_melee	5	OtF_khemri_swordsmen
Default_land_infantry_missile	5	OtF_khemri_archers
Default_land_infantry_melee	10	OtF_khemri_elite_guard
Default_land_infantry_missile	12	OtF_khemri_rangers
Default_land_cavalry_melee	5	ovn_yeoman
Default_land_support	5	ovn_yeomanarchers
Default_land_support	12	wh_main_arb_cav_magic_carpet_0
Default_land_monster	25	ovn_elephant
Default_land_infantry_melee	10	ovn_corsairs
Default_land_infantry_melee	10	ovn_southlander
Default_land_monster	15	ovn_prometheans
Default_land_infantry_melee	5	ovn_slave
Default_land_monster	15	ovn_ifreet
Default_land_infantry_missile	11	ovn_jez
Default_land_infantry_melee	15	ovn_glad
Default_land_monster	15	ovn_scor
Default_land_cavalry_melee	22	ovn_knights_ror
Default_land_cavalry_melee	22	ovn_cat_knights
Default_land_cavalry_melee	24	ovn_cat_knights_ror
Default_land_infantry_missile	13	ovn_jez_ror
Default_land_infantry_melee	15	ovn_jag
Default_land_infantry_melee	17	ovn_jag_ror
Default_land_monster	27	ovn_elephant_ror
Default_land_monster	29	ovn_arb_mon_war_elephant_ror
Default_land_artillery	20	ovn_bom_ror
Default_land_artillery	20	ovn_arb_art_grand_bombard
Default_land_infantry_monterous	18	sr_ogre_arb
Default_land_monster	28	hous_nec
